"a","b","c","b2","a1","b1","c1","a0","b0","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD","equation"
25.811510230051,2.654632369001,-1.500902066464,-0.037573714528,NA,NA,NA,NA,NA,"1_111 230",NA,NA,4
16.294487734613,NA,-0.859129789175,NA,1.985339013907,0.148348452554,0.618339172768,NA,NA,"1_131 230",NA,NA,3
4.886995544865,2.570258650412,-1.015986463361,NA,NA,NA,NA,NA,NA,"105 130",NA,NA,1
38585.5866150749,3.91136590129,-4.097306422612,NA,NA,NA,NA,NA,NA,"105 210",NA,NA,1
NA,NA,-1.306961710828,NA,NA,2.804650740743,NA,7.897891369725,2.922159816047,"108 M330",NA,NA,2
2.01290513454,2.579140325749,-0.854025041692,NA,NA,NA,NA,NA,NA,"110 230",NA,NA,1
8.10781980873,2.746458252462,-1.420072219885,NA,NA,NA,NA,NA,NA,"110 M230",NA,NA,1
6.320403109915,2.828071285132,-1.251061938318,NA,NA,NA,NA,NA,NA,"111 230",NA,NA,1
11.539010367964,2.483196825997,-1.094254110011,NA,NA,NA,NA,NA,NA,"12 210",NA,NA,1
2.021188492527,2.36859036142,-0.647543390273,NA,NA,NA,NA,NA,NA,"121 230",NA,NA,1
1.221980506256,2.584056909775,-0.723256352975,NA,NA,NA,NA,NA,NA,"122 M240",NA,NA,1
1.937929560794,2.39552908587,-0.557391922529,NA,NA,NA,NA,NA,NA,"122 M260",NA,NA,1
0.945500162881,2.775912005349,-0.822849471485,NA,NA,NA,NA,NA,NA,"122 M310",NA,NA,1
0.79856113285,2.385559427099,-0.471429027557,NA,NA,NA,NA,NA,NA,"122 M330",NA,NA,1
4.356820969604,2.144698775149,-0.746957998247,NA,NA,NA,NA,NA,NA,"125 210",NA,NA,1
2.2593835254,2.058702622483,-0.646815596975,NA,NA,NA,NA,NA,NA,"129 210",NA,NA,1
23.394396078009,2.707164838998,-1.553003018826,NA,NA,NA,NA,NA,NA,"129 M220",NA,NA,1
NA,NA,-1.11938861596,NA,NA,2.620206080045,NA,8.337502274954,2.388420507856,"131 230",NA,NA,2
22.978974493061,2.417410557068,-1.425483752014,NA,NA,NA,NA,NA,NA,"132 M220",NA,NA,1
11.545262277026,1.501359265197,-0.474110468044,NA,NA,NA,NA,NA,NA,"133 340",NA,NA,1
0.190013872533,1.723532757879,0.358146254457,NA,NA,NA,NA,NA,NA,"15 M260",NA,NA,1
0.301608040893,2.062927801381,0.170076208344,NA,NA,NA,NA,NA,NA,"17 M330",NA,NA,1
