"a","b","c","a0","b0","b1","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD","equation"
2.142727069816,3.381493444719,-0.971240972342,NA,NA,NA,"1_111 230",NA,NA,1
NA,NA,-0.612092190851,1.79722355085,2.573761479826,3.24315453119,"1_131 230",NA,NA,2
1.335397651991,3.179300991069,-0.745237308464,NA,NA,NA,"105 210",NA,NA,1
10.278315172654,3.467024094772,-1.401401964113,NA,NA,NA,"108 M330",NA,NA,1
0.768432033028,3.985480604385,-1.164906102228,NA,NA,NA,"110 230",NA,NA,1
2.409938449816,3.670518764578,-1.26679784608,NA,NA,NA,"110 M230",NA,NA,1
0.858432090597,3.748201042703,-1.095286702643,NA,NA,NA,"111 230",NA,NA,1
2.499595466341,2.70237696932,-0.609498391941,NA,NA,NA,"12 210",NA,NA,1
1.377818698865,3.612612683215,-1.024318690374,NA,NA,NA,"121 230",NA,NA,1
0.310460138432,2.948000576004,-0.270055096739,NA,NA,NA,"122 M260",NA,NA,1
0.952443008953,3.282512866084,-0.821331779443,NA,NA,NA,"122 M310",NA,NA,1
1.856855287744,2.424659528249,-0.402509507217,NA,NA,NA,"122 M330",NA,NA,1
4.893214352207,3.243713350382,-1.158985684503,NA,NA,NA,"125 210",NA,NA,1
4.745112692025,3.288200185937,-1.189935766647,NA,NA,NA,"129 210",NA,NA,1
34.345672606734,3.406583265301,-1.651412382593,NA,NA,NA,"129 M220",NA,NA,1
0.612149319777,3.174475139615,-0.655518923061,NA,NA,NA,"131 230",NA,NA,1
5.527036308374,2.998114064219,-0.943857532103,NA,NA,NA,"132 M220",NA,NA,1
0.000319109263,0.708305088365,2.652928181799,NA,NA,NA,"15 M260",NA,NA,1
9.521330809106,1.762316117442,-0.40574259177,NA,NA,NA,"202 240",NA,NA,1
6.516255149421,2.235367369605,-0.593040428867,NA,NA,NA,"202 M240",NA,NA,1
0.843599248491,2.649405413686,-0.473312712265,NA,NA,NA,"202 M260",NA,NA,1
18.708786407325,3.289218661347,-1.474720141393,NA,NA,NA,"202 M330",NA,NA,1
2.013564e-06,2.27046200699,2.638610445724,NA,NA,NA,"222 230",NA,NA,1
2.807057634955,3.27061548611,-1.142255091169,NA,NA,NA,"241 210",NA,NA,1
0.209520151465,2.59999767764,0.030682068316,NA,NA,NA,"261 210",NA,NA,1
2.163238691555,2.490148365493,-0.37116231594,NA,NA,NA,"261 M220",NA,NA,1
5.178883874681,4.051628802483,-1.508197246819,NA,NA,NA,"313 230",NA,NA,1
0.018713617643,2.611545759793,0.706802784019,NA,NA,NA,"316 210",NA,NA,1
0.650481799433,3.660192372895,-0.773985537516,NA,NA,NA,"316 230",NA,NA,1
0.013549262378,4.309841290083,-0.246339129402,NA,NA,NA,"316 M220",NA,NA,1
0.114467502845,2.323367173274,0.480514904949,NA,NA,NA,"318 210",NA,NA,1
0.002455462911,2.36487283486,1.34170808961,NA,NA,NA,"371 210",NA,NA,1
21.601371748954,3.225808314183,-1.344948117146,NA,NA,NA,"375 210",NA,NA,1
0.292824996677,2.808504212671,-0.283122560781,NA,NA,NA,"375 M210",NA,NA,1
0.001634244461,2.627497151347,1.344829093092,NA,NA,NA,"400 210",NA,NA,1
0.010690367435,3.319883186842,0.459778969112,NA,NA,NA,"400 230",NA,NA,1
2.129226818835,3.68669452634,-0.96239596051,NA,NA,NA,"400 M220",NA,NA,1
0.002476965604,2.539060701537,1.226204099531,NA,NA,NA,"461 230",NA,NA,1
