"a","b","c","a0","b0","b1","b2","a1","c1","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD","equation"
0.002964212597,1.78409261844,0.764628515329,NA,NA,NA,NA,NA,NA,"1_111 230",NA,NA,1
NA,NA,0.359651658745,0.008700200745,1.876608714143,2.086262249467,NA,NA,NA,"1_131 230",NA,NA,2
0.002656071385,1.632033796489,0.620290764626,NA,NA,NA,NA,NA,NA,"100 130",NA,NA,1
0.001481210592,1.764710326649,0.698382565659,NA,NA,NA,NA,NA,NA,"105 130",NA,NA,1
0.00213273464,1.981955272517,0.534274965478,NA,NA,NA,NA,NA,NA,"105 210",NA,NA,1
0.036121768573,2.125293876809,-0.27673538001,NA,NA,NA,NA,NA,NA,"105 220",NA,NA,1
0.00104649526,1.646609538519,0.897787081545,NA,NA,NA,NA,NA,NA,"107 230",NA,NA,1
0.001702751772,1.837988714658,0.575379939327,NA,NA,NA,NA,NA,NA,"108 130",NA,NA,1
0.000556399369,1.585575706904,1.078951207884,NA,NA,NA,NA,NA,NA,"108 330",NA,NA,1
0.000151874534,1.578749793867,1.404835140229,NA,NA,NA,NA,NA,NA,"108 M130",NA,NA,1
5.4479797e-05,1.541032167131,1.607713777182,NA,NA,NA,NA,NA,NA,"108 M330",NA,NA,1
NA,NA,-0.415019821122,0.040726229315,2.605474295311,1.807965234139,NA,NA,NA,"110 220",NA,NA,2
NA,NA,0.400395020265,0.007228624324,1.984096037708,1.840468279136,NA,NA,NA,"110 230",NA,NA,2
NA,NA,0.567472063039,0.005022124229,1.850376247575,1.85771512594,NA,NA,NA,"110 M220",NA,NA,2
NA,NA,0.254020236629,0.005171596647,2.36643084378,2.055896142634,NA,NA,NA,"110 M230",NA,NA,2
0.004307564283,2.013121858813,0.586315835574,NA,NA,NA,0.016967350124,NA,NA,"111 230",NA,NA,4
0.001060525223,1.855595769351,0.827897194197,NA,NA,NA,NA,NA,NA,"115 230",NA,NA,1
0.013319871175,1.878440208723,0.307224456431,NA,NA,NA,NA,NA,NA,"117 M260",NA,NA,1
0.000484400977,NA,0.796510522853,NA,NA,7.8889368e-05,NA,1.657292041713,-0.037889502926,"12 130",NA,NA,3
0.00080950771,NA,1.002938522459,NA,NA,0.076389862213,NA,1.721122112425,0.130774755245,"12 210",NA,NA,3
0.000320209786,NA,0.999792840098,NA,NA,0.00037258061,NA,1.434336679647,-0.060089955929,"12 M210",NA,NA,3
NA,NA,0.489236705133,0.004177015338,2.088051516628,1.73776919255,NA,NA,NA,"121 230",NA,NA,2
0.001709450323,1.504625759586,1.077494107282,NA,NA,NA,NA,NA,NA,"122 310",NA,NA,1
0.076333403427,1.882648893891,-0.285840185936,NA,NA,NA,NA,NA,NA,"122 330",NA,NA,1
0.004887469573,1.718841628064,0.661641642105,NA,NA,NA,NA,NA,NA,"122 M260",NA,NA,1
0.009679711004,1.760631464643,0.493905276446,NA,NA,NA,NA,NA,NA,"122 M310",NA,NA,1
0.0018774667,1.652136190016,0.944980428979,NA,NA,NA,NA,NA,NA,"122 M330",NA,NA,1
0.002553970457,1.948948717153,0.66891406291,NA,NA,NA,NA,NA,NA,"122 M340",NA,NA,1
0.002154620938,1.785235415706,0.76035713255,NA,NA,NA,NA,NA,NA,"123 M220",NA,NA,1
0.002420729359,1.298384473928,0.791694246038,NA,NA,NA,-0.052313669682,NA,NA,"125 130",NA,NA,4
0.001268244809,2.027055891165,0.689054958384,NA,NA,NA,0.010766132448,NA,NA,"125 210",NA,NA,4
0.015429813561,1.833721876321,0.024596497921,NA,NA,NA,-0.037580197489,NA,NA,"125 220",NA,NA,4
NA,NA,0.837769010084,0.002189693823,1.739350974815,1.843115097729,NA,NA,NA,"126 M220",NA,NA,2
NA,NA,0.659650272451,0.004050579847,1.842515643625,1.822849910458,NA,NA,NA,"128 230",NA,NA,2
NA,NA,1.181182253981,0.000137704897,2.158777680754,1.658358683318,NA,NA,NA,"129 130",NA,NA,2
NA,NA,1.100303531053,0.000201355595,2.216645401228,1.478482243143,NA,NA,NA,"129 210",NA,NA,2
NA,NA,-0.225406805151,0.041218558161,2.111562499629,2.061878862865,NA,NA,NA,"129 220",NA,NA,2
NA,NA,0.359830181331,0.002805216058,2.421971008338,1.833468695644,NA,NA,NA,"129 230",NA,NA,2
NA,NA,0.867007457746,0.000732365243,2.055791744971,1.7443094509,NA,NA,NA,"129 M220",NA,NA,2
0.004110367187,2.915595521386,-0.111516008884,NA,NA,NA,NA,NA,NA,"131 220",NA,NA,1
0.006552546647,1.935687677716,0.407960682315,NA,NA,NA,NA,NA,NA,"131 230",NA,NA,1
3.7826051e-05,1.452281284298,1.929277263398,NA,NA,NA,NA,NA,NA,"131 M230",NA,NA,1
0.001446967838,1.587831446353,0.818854032891,NA,NA,NA,0.005307119628,NA,NA,"132 220",NA,NA,4
0.009671617818,2.070212324023,0.172936833211,NA,NA,NA,0.003662215882,NA,NA,"132 230",NA,NA,4
0.004145321195,2.259375861208,0.372254785899,NA,NA,NA,0.049513361161,NA,NA,"132 M220",NA,NA,4
0.004022027393,2.041693377088,0.473846647222,NA,NA,NA,0.000475399075,NA,NA,"15 M260",NA,NA,4
