"a","b","c","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD","equation"
0.003326053022,2.002726836184,0.953609858059,"1_111 230",NA,NA,1
0.00185909699,2.137522876913,1.007626828366,"1_131 230",NA,NA,1
0.003062064748,1.764572538388,1.093603760341,"100 130",NA,NA,1
0.002931645722,1.787951865512,1.095883729696,"105 130",NA,NA,1
0.00324628268,1.845622656074,1.037197231166,"105 210",NA,NA,1
0.005299658239,1.829647098312,0.930055007377,"105 220",NA,NA,1
0.001811153009,1.759072746385,1.240004294747,"107 230",NA,NA,1
0.00383671708,1.795818135406,1.033637103302,"108 130",NA,NA,1
0.001852910239,1.722687490346,1.269258526188,"108 330",NA,NA,1
0.00559521311,1.914349870442,0.882270758251,"108 M130",NA,NA,1
0.004330991123,1.751312256349,1.032784678381,"108 M330",NA,NA,1
0.002670188186,2.061633484287,0.990635602876,"110 220",NA,NA,1
0.002889063277,1.970858731279,1.014585910546,"110 230",NA,NA,1
0.003617898015,2.024122155434,0.939821849555,"110 M220",NA,NA,1
0.002703121954,1.986764150605,1.02814919714,"110 M230",NA,NA,1
0.003633228676,1.952409264085,0.965147963283,"111 230",NA,NA,1
0.002112279743,1.942645227499,1.087079054665,"115 230",NA,NA,1
0.003368873847,1.643330876416,1.160042353847,"117 M260",NA,NA,1
0.004076384982,1.855970919995,0.976499194904,"12 130",NA,NA,1
0.002929647779,1.777407036511,1.103663640135,"12 210",NA,NA,1
0.007350875,1.779745860623,0.873879236011,"12 220",NA,NA,1
0.00516811917,1.869162344801,0.922849447609,"12 M210",NA,NA,1
0.003852589123,1.950503497987,0.952066949635,"121 230",NA,NA,1
0.001698723402,1.925075749401,1.153794494897,"122 310",NA,NA,1
0.003133164568,1.897235138525,1.040071169172,"122 330",NA,NA,1
0.003713053919,2.101144029084,0.853501220458,"122 340",NA,NA,1
0.001626255377,1.748540389598,1.242674822101,"122 M240",NA,NA,1
0.004307710255,1.794188555981,1.008986902877,"122 M260",NA,NA,1
0.002587764683,1.925135021986,1.061607144246,"122 M310",NA,NA,1
0.003680308925,1.952902597474,0.957441097083,"122 M330",NA,NA,1
0.007634497547,2.229769208364,0.595206709378,"122 M340",NA,NA,1
0.004038143305,1.828201034009,1.018989464011,"123 M220",NA,NA,1
0.002803410608,1.843958854924,1.094245380727,"125 130",NA,NA,1
0.002741266027,1.826965750253,1.107949932807,"125 210",NA,NA,1
0.002730575163,1.854880362448,1.089660519259,"125 220",NA,NA,1
0.004519996891,1.790423766674,1.016587151576,"125 M210",NA,NA,1
0.004376014994,2.014393873281,0.884526530276,"126 M220",NA,NA,1
0.003179787444,1.899714107041,1.034312084643,"128 230",NA,NA,1
0.004878463372,1.879017636103,0.942005388925,"129 130",NA,NA,1
0.00338422079,1.782418308883,1.083335161844,"129 210",NA,NA,1
0.003388183767,1.842502339032,1.03656959931,"129 220",NA,NA,1
0.002446492952,1.790751120705,1.130834990694,"129 230",NA,NA,1
0.002344495571,1.765624277411,1.173305027629,"129 M210",NA,NA,1
0.003181215904,1.81461548342,1.053674470405,"129 M220",NA,NA,1
0.003136385115,1.947835614374,0.993678393608,"131 220",NA,NA,1
0.002585344478,1.927334736454,1.053005504332,"131 230",NA,NA,1
0.003304171466,1.999645664921,0.951396862122,"131 M230",NA,NA,1
0.002125662879,1.918819605355,1.111483227613,"132 220",NA,NA,1
0.004130590295,1.877890553816,0.971039101646,"132 230",NA,NA,1
0.003428065063,1.870471649501,1.018420578018,"132 M220",NA,NA,1
0.003238446376,1.742876260726,1.121039107709,"15 M260",NA,NA,1
0.005670092738,1.852201266674,0.90723188956,"15 M310",NA,NA,1
0.003762856618,1.802768227767,1.042671335001,"15 M330",NA,NA,1
0.003357227308,1.668746079037,1.129724610919,"19 M330",NA,NA,1
0.003038854751,1.782004739374,1.108842305433,"20 M260",NA,NA,1
0.004187466608,1.781935011635,1.009333407496,"202 130",NA,NA,1
0.002916157874,1.778795704183,1.085526548472,"202 240",NA,NA,1
0.00409081247,1.744456074401,1.04437028735,"202 260",NA,NA,1
0.003017468154,1.737018254868,1.111865628163,"202 340",NA,NA,1
0.002580220166,1.71706397716,1.164522867765,"202 M240",NA,NA,1
0.003694165159,1.721672598446,1.0929287137,"202 M260",NA,NA,1
0.004178217507,1.954100653626,0.908911254037,"202 M310",NA,NA,1
0.006448372965,1.909124166374,0.840505544631,"202 M330",NA,NA,1
0.003736215192,1.869619393368,0.966936266527,"211 260",NA,NA,1
0.001560446791,1.864967372035,1.189451784438,"221 230",NA,NA,1
0.012707403574,1.838973205167,0.728191706699,"222 230",NA,NA,1
0.007397086575,1.879959782281,0.806096219211,"241 130",NA,NA,1
0.00428447374,1.729092215576,1.03570723419,"241 210",NA,NA,1
0.001062820132,1.427379937273,1.515531344402,"242 340",NA,NA,1
0.012973229742,2.007966756718,0.605039191574,"242 M240",NA,NA,1
0.002564354372,1.899540985015,1.07621724646,"261 130",NA,NA,1
0.003900092359,1.895516730981,0.969576129518,"261 210",NA,NA,1
0.004832475649,1.845793850327,0.949173776675,"261 220",NA,NA,1
0.006557467134,2.235217315829,0.615706223837,"261 M220",NA,NA,1
0.00229342575,1.721132849879,1.187131062515,"263 340",NA,NA,1
0.006341756669,1.946976960942,0.834175931106,"263 M240",NA,NA,1
0.00346920536,1.860630151392,1.002428701226,"316 210",NA,NA,1
0.003889872787,1.775816137928,1.022094453915,"316 220",NA,NA,1
0.004028346742,1.77137350935,1.008155413004,"316 230",NA,NA,1
0.003372461547,1.909873966946,0.975448469001,"316 M220",NA,NA,1
0.001947480949,1.740537333686,1.188182294636,"317 220",NA,NA,1
0.002853049756,1.925567768433,1.031342796879,"318 210",NA,NA,1
0.004588663331,1.948728031593,0.91360529227,"318 220",NA,NA,1
0.003170101411,1.93125826892,1.010045824677,"318 M210",NA,NA,1
0.001885179564,1.92237062531,1.107207073789,"318 M220",NA,NA,1
0.002509990734,1.88929132335,1.061313500998,"330 M220",NA,NA,1
0.003255164965,1.978974666458,0.968100598478,"351 M240",NA,NA,1
0.007758318799,1.867848672621,0.790813096011,"370 230",NA,NA,1
0.004104482998,1.805543534117,0.990507422737,"370 M220",NA,NA,1
0.008759198246,1.968089920052,0.691761895851,"371 130",NA,NA,1
0.008332806355,2.022292595471,0.716005439456,"371 210",NA,NA,1
0.00559372753,1.949462202941,0.870484031676,"371 220",NA,NA,1
0.005387960244,1.962725479478,0.868507812465,"371 M210",NA,NA,1
0.002720788403,1.88408674104,1.053101661506,"371 M220",NA,NA,1
0.003725947441,1.860087925553,0.990301442154,"375 130",NA,NA,1
0.002576129019,1.861099302484,1.084298069152,"375 210",NA,NA,1
0.009121591195,1.958570869072,0.734030848572,"375 220",NA,NA,1
0.008749072904,1.952231854959,0.748025689316,"375 M210",NA,NA,1
0.002645311733,1.734475456609,1.148249319381,"400 220",NA,NA,1
0.003333909847,1.941463457628,0.965260460689,"400 230",NA,NA,1
0.002916352959,1.928160042196,1.004747066495,"400 M220",NA,NA,1
0.005355477304,2.056663627704,0.79446008817,"400 M230",NA,NA,1
0.004757544502,1.98209004956,0.873258543962,"403 220",NA,NA,1
0.003616577462,1.874562593093,0.990172146397,"404 230",NA,NA,1
0.005513347069,1.835382645077,0.925856833657,"42 M240",NA,NA,1
0.010330972339,2.002082670163,0.646362811976,"421 220",NA,NA,1
0.003222107275,1.653666690726,1.158846241752,"43 230",NA,NA,1
0.002077335652,1.790874669341,1.149587064407,"460 230",NA,NA,1
0.003432017205,1.922804584785,0.941679203189,"461 230",NA,NA,1
0.008194445732,1.893488772318,0.747430468619,"491 230",NA,NA,1
0.003552143811,2.023594005019,0.924118256538,"521 230",NA,NA,1
0.006027529071,1.988168471634,0.822915165256,"531 210",NA,NA,1
0.007662313152,1.883783539006,0.843069664503,"531 220",NA,NA,1
0.004124963538,1.847656303491,0.962373636264,"531 230",NA,NA,1
0.004178280494,1.930462737858,0.945666793761,"531 M210",NA,NA,1
0.003581072746,1.806523191638,1.027222903056,"531 M220",NA,NA,1
0.005312132005,1.908228080256,0.877861062341,"540 230",NA,NA,1
0.004148954219,1.924956424219,0.932232338575,"540 M220",NA,NA,1
0.004120891955,1.769149308376,1.035531727409,"541 210",NA,NA,1
0.004720938264,1.854749209949,0.950192767437,"541 220",NA,NA,1
0.008266758548,1.933162326194,0.778718857875,"541 M210",NA,NA,1
0.001612760506,1.801307721319,1.209074511476,"541 M220",NA,NA,1
0.005058766139,1.91884266086,0.888005411836,"543 210",NA,NA,1
0.007105131818,1.706840861566,0.8994553619,"544 230",NA,NA,1
0.006462690469,2.098479876513,0.726499651499,"555 230",NA,NA,1
0.004546794617,1.913814307961,0.915205867602,"591 230",NA,NA,1
0.004873790408,1.93968374659,0.895515098996,"602 220",NA,NA,1
0.002641771169,1.78227742281,1.117062887626,"602 M220",NA,NA,1
0.003256287914,1.88326314145,1.003949208809,"611 230",NA,NA,1
0.002469164807,1.835805509616,1.104226604897,"621 220",NA,NA,1
0.002243995466,1.829815868063,1.12025981119,"621 230",NA,NA,1
0.002971223598,1.895885770789,1.020877051821,"621 M220",NA,NA,1
0.002844524895,1.959348673108,0.999083389346,"651 M220",NA,NA,1
0.005928714865,1.816808152563,0.907427832088,"653 230",NA,NA,1
0.004937532084,1.593149398056,1.074531788254,"68 220",NA,NA,1
0.003634939638,1.861260970304,1.001140250063,"68 230",NA,NA,1
0.007084223969,1.612310045653,0.966564942902,"691 230",NA,NA,1
0.003822985217,1.925032919564,0.948377297597,"693 220",NA,NA,1
0.005971717962,1.926333940372,0.837521814077,"693 230",NA,NA,1
0.006480691912,2.034523800197,0.762108712812,"693 M220",NA,NA,1
0.004228660795,1.79253544896,1.014926499318,"694 230",NA,NA,1
0.003358863334,1.787509274996,1.052787165402,"71 130",NA,NA,1
0.002880322332,1.750910400943,1.11221547709,"71 210",NA,NA,1
0.003494164342,1.765526387557,1.0426337848,"731 230",NA,NA,1
0.014419970026,2.164447672601,0.493910351254,"740 130",NA,NA,1
0.004194352152,1.998235958637,0.903189408452,"740 M330",NA,NA,1
0.002502419011,1.949786475321,1.031798420561,"741 130",NA,NA,1
0.001825769855,1.981237723707,1.104575578511,"741 210",NA,NA,1
0.004694485275,1.997498558623,0.864393706914,"743 130",NA,NA,1
0.003416941189,1.927849407777,0.980948986355,"743 210",NA,NA,1
0.002616106871,1.907274837601,1.056251051019,"746 130",NA,NA,1
0.003515500937,1.969814891087,0.953244474184,"746 210",NA,NA,1
0.004361205794,1.926071599398,0.934694174995,"746 220",NA,NA,1
0.003096476851,1.874113931971,1.027536358934,"746 M130",NA,NA,1
0.003050410123,1.931195481535,1.011457458706,"746 M330",NA,NA,1
0.002792323151,1.69098737603,1.172232142957,"762 210",NA,NA,1
0.004701421269,1.956765270175,0.877864690221,"762 220",NA,NA,1
0.004027254514,1.891237319539,0.944504619624,"762 230",NA,NA,1
0.002406926779,1.864902875564,1.094742553221,"762 M220",NA,NA,1
0.005124361611,1.910991064287,0.890474001634,"800 230",NA,NA,1
0.002576285716,1.706547686756,1.176841844626,"802 210",NA,NA,1
0.005315643235,1.879560071566,0.906855172626,"802 220",NA,NA,1
0.002625329262,1.822848096005,1.098350632848,"802 230",NA,NA,1
