"SPCD","DIVISION","STDORGCD","equation","alpha","beta"
371,,,6,2.344142197409,0.916992070528
372,,,6,2.446817025668,0.914348166806
373,,,6,2.65550698031,0.914348166806
374,,,6,2.61869357515,0.914348166806
375,"130",,6,2.474878882225,0.927595162374
375,"210",,6,2.376753586815,0.934943698144
375,"220",,6,2.276746323522,0.892049890131
375,"M130",,6,2.306647400236,0.928218282922
375,"M210",,6,2.376073113429,0.939076123754
375,"M330",,6,2.38297565864,0.93038379557
375,,,6,2.402997505194,0.930007396355
391,,,6,2.56508770691,0.888504638463
400,"220",,6,2.444618024315,0.850801072617
400,"230",,6,2.457347739933,0.855820967279
400,"M220",,6,2.418152472834,0.859190799066
400,"M230",,6,2.56815799285,0.951819521076
400,,,6,2.449453667244,0.860332770547
402,,,6,2.5032428791,0.892221069952
403,"220",,6,2.495476086135,0.900883027572
403,,,6,2.411815561813,0.894591162887
404,"230",,6,2.497471574587,0.870014511751
404,,,6,2.561348354165,0.871570967709
405,,,6,2.546193912511,0.892221069952
407,,,6,2.442916011169,0.911300175145
409,,,6,2.397817563387,0.892221069952
421,"220",,6,2.635245294593,0.948045680172
421,,,6,2.635245294593,0.948045680172
460,"230",,6,2.668512893559,0.845346303987
460,,,6,2.68214284181,0.846140105465
461,"230",,6,2.566082642427,0.906709212742
461,,,6,2.566082642427,0.906709212742
462,,,6,2.642825146268,0.888504638463
471,,,6,2.277851796989,0.888504638463
491,"230",,6,2.666419582162,0.880964821824
491,,,6,2.66530366738,0.873286343131
521,"230",,6,2.2800291186,0.863082229341
521,,,6,2.30332282395,0.856487527894
531,"210",,6,2.335119307057,0.941832018955
531,"220",,6,2.187604260252,0.940140023431
531,"230",,6,2.81547605937,0.866728126848
531,"M210",,6,2.239690155218,0.926508462449
531,"M220",,6,2.71115488122,0.883208169833
