"a","b","c","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD"
0.00332605304690779,2.00272683762457,0.953609855463021,"1_111 230",NA,NA
0.0018590799131825,2.13753632061839,1.00762217102809,"1_131 230",NA,NA
0.00306206472221436,1.76457253784823,1.0936037626701,"100 130",NA,NA
0.00293164572432612,1.78795186532647,1.09588372959323,"105 130",NA,NA
0.00324628266703058,1.84562265677824,1.0371972317031,"105 210",NA,NA
0.00529965828913048,1.82964710013148,0.930055004053734,"105 220",NA,NA
0.00181115308550586,1.75907274915372,1.24000428285285,"107 230",NA,NA
0.00383671716334675,1.79581813844283,1.03363709658312,"108 130",NA,NA
0.0018529102385175,1.72268749034573,1.26925852618844,"108 330",NA,NA
0.00559521313861552,1.91434986980196,0.882270757321121,"108 M130",NA,NA
0.00435397459167977,1.75082439959797,1.03181262223287,"108 M330",NA,NA
0.00267018824726883,2.06163348757783,0.99063559555471,"110 220",NA,NA
0.00288906330576507,1.97085873234011,1.01458590755078,"110 230",NA,NA
0.00361789773539489,2.02412215172921,0.93982186964678,"110 M220",NA,NA
0.00270312201021736,1.98676415283279,1.02814919089786,"110 M230",NA,NA
0.00363322870806066,1.9524092646672,0.965147960846262,"111 230",NA,NA
0.00211227971297849,1.94264522740685,1.08707905788504,"115 230",NA,NA
0.00336803259542566,1.64331209997917,1.1601083263703,"117 M260",NA,NA
0.00407638499216242,1.8559709199598,0.97649919433822,"12 130",NA,NA
0.00292964791284884,1.77740704252011,1.10366362550519,"12 210",NA,NA
0.0073508748657387,1.77974586116163,0.873879240180792,"12 220",NA,NA
0.00516811926230035,1.86916234645309,0.922849442223008,"12 M210",NA,NA
0.00385315765465434,1.95051673973083,0.952022510184759,"121 230",NA,NA
0.00169872343917109,1.92507575290605,1.15379448754482,"122 310",NA,NA
0.00313316455779285,1.89723513863836,1.04007116986923,"122 330",NA,NA
0.00371352217148294,2.10114570677283,0.853473894802221,"122 340",NA,NA
0.00162625530505266,1.74854038244158,1.24267483596787,"122 M240",NA,NA
0.00430585256408676,1.79428561882402,1.00902460189687,"122 M260",NA,NA
0.0025877727119431,1.92516574969121,1.06158415363978,"122 M310",NA,NA
0.00367955520053142,1.95272487573639,0.957609579723446,"122 M330",NA,NA
0.00763449800492719,2.22976921437573,0.595206691225899,"122 M340",NA,NA
0.00403814304256082,1.82820103031964,1.0189894826481,"123 M220",NA,NA
0.0028034106249603,1.8439588546295,1.09424537955462,"125 130",NA,NA
0.00274124369105624,1.82696524880088,1.10795207834093,"125 210",NA,NA
0.0027305751627409,1.85488036244798,1.0896605192588,"125 220",NA,NA
0.00452058137590038,1.79012178049738,1.01674310321639,"125 M210",NA,NA
0.00437601500787024,2.01439387367926,0.884526529272808,"126 M220",NA,NA
0.00317978743003365,1.89971410775885,1.03431208522059,"128 230",NA,NA
0.00487846348018222,1.87901763856041,0.942005382341835,"129 130",NA,NA
0.0033842207899048,1.78241831030898,1.08333516096065,"129 210",NA,NA
0.0033881838917024,1.84250234390353,1.03656958838685,"129 220",NA,NA
0.00244649285640196,1.79075111656963,1.13083500212568,"129 230",NA,NA
0.00234581730523601,1.7656763274645,1.1731443516918,"129 M210",NA,NA
0.00318121597764638,1.81461548528373,1.05367446405876,"129 M220",NA,NA
0.00313638544674303,1.94783561884609,0.993678366348327,"131 220",NA,NA
0.00258534448748469,1.92733473677905,1.05300550331062,"131 230",NA,NA
0.00330416878834293,1.99966985265525,0.951380709473214,"131 M230",NA,NA
0.00212566294378214,1.91881960860803,1.11148321840387,"132 220",NA,NA
0.00413059028435702,1.87789055345138,0.971039102466159,"132 230",NA,NA
0.00342806500498488,1.87047164806773,1.01842058285449,"132 M220",NA,NA
0.00323959200411854,1.74278439744807,1.12102075335786,"15 M260",NA,NA
0.00566984280931958,1.85216391251953,0.90727022539209,"15 M310",NA,NA
0.0037632627220119,1.80276912602489,1.04264710316172,"15 M330",NA,NA
0.00335722745242183,1.66874608876711,1.12972459516158,"19 M330",NA,NA
0.00303885480986538,1.78200474234893,1.10884229915333,"20 M260",NA,NA
0.00418746668395847,1.78193501366782,1.00933340177566,"202 130",NA,NA
0.00291617634066492,1.77878862718563,1.08553006234855,"202 240",NA,NA
0.00409081247416356,1.7444560757267,1.04437028625126,"202 260",NA,NA
0.00301633689580894,1.7369616023203,1.11197355219011,"202 340",NA,NA
0.00258033011029029,1.71711329740689,1.16448052892594,"202 M240",NA,NA
0.0036915070036793,1.72147213290884,1.09323830196553,"202 M260",NA,NA
0.00417830789538531,1.95406893053508,0.908931276218482,"202 M310",NA,NA
0.00644619054648258,1.90912481261429,0.84057892920472,"202 M330",NA,NA
0.00373621533361636,1.86961939548219,0.966936257293219,"211 260",NA,NA
0.001560446393402,1.86496736177099,1.18945184845313,"221 230",NA,NA
0.0127074037983079,1.83897320666957,0.728191701599639,"222 230",NA,NA
0.00739708676214266,1.8799597857128,0.806096210383204,"241 130",NA,NA
0.00428447352994099,1.72909221109525,1.03570724943544,"241 210",NA,NA
