"a","a1","b1","c1","c","a0","b0","b","b2","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD"
0.358815804834553,1.8496038608906,0.149984424129825,0.332485305567787,0.841295545168222,NA,NA,NA,NA,"1_111 230",NA,NA
NA,NA,2.15757669204797,NA,1.15770785278902,0.0784684096523732,1.68893386945969,NA,NA,"1_131 230",NA,NA
0.495643856785868,NA,NA,NA,0.508476807318917,NA,NA,2.10900680381078,NA,"105 210",NA,NA
0.181923402513145,NA,NA,NA,0.783734837671573,NA,NA,2.06463375154846,NA,"108 M330",NA,NA
0.0576224974946932,NA,NA,NA,1.02106459781393,NA,NA,2.14874984958704,NA,"110 230",NA,NA
0.748829875330564,NA,NA,NA,0.435975906005348,NA,NA,2.11850863756932,NA,"110 M230",NA,NA
NA,NA,1.97688489256883,NA,0.783195351733483,0.177868621447206,2.18001421732947,NA,NA,"111 230",NA,NA
NA,NA,2.17371460049546,NA,0.600489608439207,0.328925385181721,2.06830505411175,NA,NA,"12 210",NA,NA
0.112404890830246,NA,NA,NA,0.926658318893807,NA,NA,2.07582139752799,NA,"121 230",NA,NA
0.230959649176704,NA,NA,NA,0.636401459329995,NA,NA,2.18013961448965,NA,"122 M260",NA,NA
0.231449279772294,NA,NA,NA,0.805486816976719,NA,NA,1.92573574305108,NA,"122 M310",NA,NA
0.388690039392197,NA,NA,NA,0.5544942850144,NA,NA,2.0959423565348,NA,"122 M330",NA,NA
NA,NA,2.14015394977276,NA,0.782544217958371,0.163474773838792,2.03361681511266,NA,NA,"125 210",NA,NA
0.272341848531979,NA,NA,NA,0.706249072617049,NA,NA,1.97876104517086,NA,"129 210",NA,NA
0.370462959148332,NA,NA,NA,0.489142995195787,NA,NA,2.21773234318161,NA,"129 M220",NA,NA
NA,NA,1.95539394486852,NA,1.15420302852529,0.045928912994115,1.95654014070577,NA,NA,"131 230",NA,NA
0.744572634515835,NA,NA,NA,0.374459866541853,NA,NA,2.21183999336046,NA,"132 M220",NA,NA
0.0146073964014846,NA,NA,NA,1.7121188499049,NA,NA,1.51243647898483,NA,"15 M260",NA,NA
0.135206477250158,NA,NA,NA,1.04761343625212,NA,NA,1.71352702717455,NA,"202 240",NA,NA
0.120040708997635,NA,NA,NA,1.06110189321152,NA,NA,1.71368785122576,NA,"202 M240",NA,NA
0.017636839171391,NA,NA,NA,1.6076896121219,NA,NA,1.54694628371359,NA,"202 M260",NA,NA
0.142806917468064,NA,NA,NA,0.878880881734198,NA,NA,1.97014393621993,NA,"202 M330",NA,NA
0.110459144525187,NA,NA,NA,1.17129314299162,NA,NA,1.53842166947968,NA,"222 230",NA,NA
NA,NA,2.03034022296182,NA,0.56051731501983,0.393287536783659,1.92033584175743,NA,NA,"241 210",NA,NA
NA,NA,2.07595221693205,NA,0.673695084850668,0.428326818407933,1.85928879328273,NA,NA,"261 210",NA,NA
NA,NA,2.04107992112926,NA,0.547532476500814,0.435207670281467,2.1254440493364,NA,NA,"261 M220",NA,NA
0.219077639846921,NA,NA,NA,0.566149553666655,NA,NA,2.34655135964405,NA,"313 230",NA,NA
0.181426481643808,NA,NA,NA,0.953960943450907,NA,NA,1.71054420589057,-0.0250739924596525,"316 210",NA,NA
0.480472752192917,NA,NA,NA,0.597190598560689,NA,NA,1.90111553458146,-0.0262618631252668,"316 230",NA,NA
1.74254303819818,NA,NA,NA,0.340272411114618,NA,NA,1.67229810292473,-0.0653975621566054,"316 M220",NA,NA
0.197488962951734,NA,NA,NA,0.92308402816529,NA,NA,1.9318058923858,NA,"318 210",NA,NA
0.0651960962458304,NA,NA,NA,1.18683908260709,NA,NA,1.90492982878599,NA,"371 210",NA,NA
0.921837951812444,NA,NA,NA,0.365204231779439,NA,NA,2.20808744463882,NA,"375 210",NA,NA
0.0927490691426393,NA,NA,NA,1.05239793214804,NA,NA,1.90726990943665,NA,"375 M210",NA,NA
0.154205427899929,NA,NA,NA,0.708208018423996,NA,NA,2.40694927337971,NA,"400 230",NA,NA
0.138758211461552,NA,NA,NA,0.914738343944186,NA,NA,2.11608594318403,NA,"400 M220",NA,NA
0.068502899197613,NA,NA,NA,1.01090112472489,NA,NA,2.11209529437897,NA,"461 230",NA,NA
0.15084111864771,NA,NA,NA,1.02504257726723,NA,NA,1.86306808205739,NA,"491 230",NA,NA
0.11415882666505,NA,NA,NA,1.11819197314963,NA,NA,1.7961559284553,NA,"531 210",NA,NA
0.475068336076082,NA,NA,NA,0.617967861922146,NA,NA,1.94447988304726,NA,"540 230",NA,NA
0.505880875542621,NA,NA,NA,0.716696799437855,NA,NA,1.84196068210444,NA,"541 210",NA,NA
0.306533580998299,NA,NA,NA,0.803589676870076,NA,NA,1.81221182946894,NA,"544 230",NA,NA
0.176552278451769,NA,NA,NA,0.698773143796974,NA,NA,2.21950806297469,NA,"611 230",NA,NA
0.250574252806383,NA,NA,NA,0.657241987092874,NA,NA,2.11466320614201,-0.00359294237864049,"621 230",NA,NA
0.154317338631351,NA,NA,NA,0.543413174566899,NA,NA,2.56811567703654,0.0115880854043249,"621 M220",NA,NA
0.194805927064693,NA,NA,NA,0.768261325062092,NA,NA,1.93936162695991,NA,"691 230",NA,NA
0.960248567512631,NA,NA,NA,0.177228884483653,NA,NA,2.41243871383402,NA,"694 230",NA,NA
0.664116470429423,NA,NA,NA,0.509202782866476,NA,NA,2.0103794487824,NA,"71 210",NA,NA
0.0998251526418427,NA,NA,NA,0.898045230695992,NA,NA,2.03255358375336,NA,"740 230",NA,NA
0.0636795461143177,NA,NA,NA,1.02907724159986,NA,NA,2.04492263811518,NA,"741 210",NA,NA
0.446369554903597,NA,NA,NA,0.440759171268116,NA,NA,2.30751392114966,NA,"743 210",NA,NA
0.219583267094611,NA,NA,NA,0.70249932759157,NA,NA,2.15217334304929,NA,"746 210",NA,NA
0.148096169407029,NA,NA,NA,0.877910542654506,NA,NA,1.96008360292172,NA,"746 M330",NA,NA
