"a","b","c","a0","b0","b1","b2","a1","c1","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD"
0.00296421258080418,1.78409261553745,0.764628518163052,NA,NA,NA,NA,NA,NA,"1_111 230",NA,NA
NA,NA,0.359625759013347,0.00870085468564868,1.87662318600374,2.08632042652345,NA,NA,NA,"1_131 230",NA,NA
0.00265607170623548,1.63203381779299,0.62029072342244,NA,NA,NA,NA,NA,NA,"100 130",NA,NA
0.00148121061587885,1.7647103304405,0.698382559657952,NA,NA,NA,NA,NA,NA,"105 130",NA,NA
0.00213273456156333,1.98195526045987,0.534274981274431,NA,NA,NA,NA,NA,NA,"105 210",NA,NA
0.0361217631485849,2.12529388252146,-0.276735346183583,NA,NA,NA,NA,NA,NA,"105 220",NA,NA
0.00104649547817301,1.64660955444726,0.897787021005282,NA,NA,NA,NA,NA,NA,"107 230",NA,NA
0.00170275171100474,1.83798870834035,0.575379951180423,NA,NA,NA,NA,NA,NA,"108 130",NA,NA
0.000556399148168565,1.58557568704585,1.07895131468865,NA,NA,NA,NA,NA,NA,"108 330",NA,NA
0.000151874526556425,1.57874979355704,1.4048351519491,NA,NA,NA,NA,NA,NA,"108 M130",NA,NA
5.50875748731677e-05,1.54319706568604,1.60384826572373,NA,NA,NA,NA,NA,NA,"108 M330",NA,NA
NA,NA,-0.415019796804926,0.0407262419132825,2.60547410582779,1.80796524230988,NA,NA,NA,"110 220",NA,NA
NA,NA,0.400395014747325,0.00722862452215187,1.98409603517629,1.84046828275327,NA,NA,NA,"110 230",NA,NA
NA,NA,0.567472072319127,0.00502212417543979,1.8503762349283,1.85771512241951,NA,NA,NA,"110 M220",NA,NA
NA,NA,0.254020226262939,0.00517159699010294,2.36643083287221,2.0558961462044,NA,NA,NA,"110 M230",NA,NA
0.00430756419937035,2.01312186176945,0.586315839662664,NA,NA,NA,0.0169673505407443,NA,NA,"111 230",NA,NA
0.00106052557004283,1.8555957865902,0.827897109592846,NA,NA,NA,NA,NA,NA,"115 230",NA,NA
0.0133146763106598,1.87852700998345,0.307250489205137,NA,NA,NA,NA,NA,NA,"117 M260",NA,NA
0.000484469815837477,NA,0.796509301373326,NA,NA,9.40084275352897e-05,NA,1.66839169347519,-0.0378815152959848,"12 130",NA,NA
0.000809510748713421,NA,1.00293848997716,NA,NA,0.076391901082584,NA,1.72111887408006,0.130777007385973,"12 210",NA,NA
0.000320191600893088,NA,0.999793654624011,NA,NA,0.000361706010243167,NA,1.43180935800683,-0.0600918278956548,"12 M210",NA,NA
NA,NA,0.487793096456398,0.00419670302460971,2.08856209260168,1.73780920764104,NA,NA,NA,"121 230",NA,NA
0.0017094499898443,1.50462573486809,1.07749416767775,NA,NA,NA,NA,NA,NA,"122 310",NA,NA
0.0763333919142451,1.88264887697834,-0.28584013847625,NA,NA,NA,NA,NA,NA,"122 330",NA,NA
0.00489233718221899,1.71856891168651,0.661594047551215,NA,NA,NA,NA,NA,NA,"122 M260",NA,NA
0.00968123443811609,1.76079260002552,0.493753411363772,NA,NA,NA,NA,NA,NA,"122 M310",NA,NA
0.00187727907298305,1.65205409637302,0.945060823096773,NA,NA,NA,NA,NA,NA,"122 M330",NA,NA
0.00255397003824452,1.94894870201311,0.668914111901308,NA,NA,NA,NA,NA,NA,"122 M340",NA,NA
0.00215462095232687,1.78523541496711,0.760357131314353,NA,NA,NA,NA,NA,NA,"123 M220",NA,NA
0.0024207293442339,1.29838447562159,0.791694247262371,NA,NA,NA,-0.0523136694403473,NA,NA,"125 130",NA,NA
0.00126854755087078,2.02718981044276,0.688946502518771,NA,NA,NA,0.0107741122857649,NA,NA,"125 210",NA,NA
0.0154297905288559,1.8337206000333,0.0245973764884126,NA,NA,NA,-0.0375802701050936,NA,NA,"125 220",NA,NA
