"a","b","c","b2","a1","b1","c1","a0","b0","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD"
25.8115100799064,2.65463233927416,-1.50090205568434,-0.037573717251968,NA,NA,NA,NA,NA,"1_111 230",NA,NA
16.2944853503016,NA,-0.859129741776765,NA,1.98533904428285,0.148348413491335,0.618339022016276,NA,NA,"1_131 230",NA,NA
4.8869966680544,2.57025874303952,-1.01598656910822,NA,NA,NA,NA,NA,NA,"105 130",NA,NA
38585.6000827718,3.9113659839965,-4.09730655956618,NA,NA,NA,NA,NA,NA,"105 210",NA,NA
NA,NA,-1.3069616880865,NA,NA,2.80465071979536,NA,7.89789079504462,2.92215980951012,"108 M330",NA,NA
2.01290468291309,2.57914026474861,-0.854024952122117,NA,NA,NA,NA,NA,NA,"110 230",NA,NA
8.1078186287701,2.74645823934431,-1.42007217730028,NA,NA,NA,NA,NA,NA,"110 M230",NA,NA
6.32040572697123,2.82807136403676,-1.25106208388323,NA,NA,NA,NA,NA,NA,"111 230",NA,NA
11.5390081660907,2.48319677841385,-1.09425403492026,NA,NA,NA,NA,NA,NA,"12 210",NA,NA
2.02118817390958,2.36859034007803,-0.647543340935341,NA,NA,NA,NA,NA,NA,"121 230",NA,NA
1.22198048341963,2.584056896602,-0.723256339744257,NA,NA,NA,NA,NA,NA,"122 M240",NA,NA
1.93792869466956,2.3955290325743,-0.557391780958351,NA,NA,NA,NA,NA,NA,"122 M260",NA,NA
0.945500240320656,2.77591202393318,-0.822849503928787,NA,NA,NA,NA,NA,NA,"122 M310",NA,NA
0.798561225503071,2.3855594436407,-0.471429064448327,NA,NA,NA,NA,NA,NA,"122 M330",NA,NA
4.35471402357262,2.14444030792428,-0.746665127140729,NA,NA,NA,NA,NA,NA,"125 210",NA,NA
2.25938347180356,2.05870261708679,-0.646815587911202,NA,NA,NA,NA,NA,NA,"129 210",NA,NA
23.3943931840085,2.7071648018411,-1.55300296671109,NA,NA,NA,NA,NA,NA,"129 M220",NA,NA
NA,NA,-1.11938859107657,NA,NA,2.62020606680469,NA,8.33750175722864,2.38842048992342,"131 230",NA,NA
22.9789713148353,2.41741052393005,-1.425483695406,NA,NA,NA,NA,NA,NA,"132 M220",NA,NA
11.5452629101547,1.50135927486011,-0.474110493014891,NA,NA,NA,NA,NA,NA,"133 340",NA,NA
0.190013865758598,1.72353277351345,0.358146250938513,NA,NA,NA,NA,NA,NA,"15 M260",NA,NA
0.301673009387503,2.06292107871157,0.170029321024039,NA,NA,NA,NA,NA,NA,"17 M330",NA,NA
9.59991059908108,2.35496149939876,-0.899125651725606,NA,NA,NA,NA,NA,NA,"19 M330",NA,NA
NA,NA,-0.325050461012799,NA,NA,1.24923743854772,NA,0.47718463574719,2.59267032306389,"202 240",NA,NA
NA,NA,-0.132262766081092,NA,NA,1.54948610171419,NA,0.97671914813061,1.88874012266468,"202 M210",NA,NA
NA,NA,-1.34195408328623,NA,NA,2.29603306091134,NA,19.3938322063862,2.72263790241288,"202 M240",NA,NA
NA,NA,-0.622599492653361,NA,NA,2.51080549224892,NA,1.26359698936974,2.40510723291354,"202 M260",NA,NA
NA,NA,-0.625377447791072,NA,NA,2.06628438190456,NA,4.88582003696842,2.04528018386319,"202 M330",NA,NA
1.19181987475166,1.23298445784324,0.149165037768934,NA,NA,NA,NA,NA,NA,"211 260",NA,NA
0.413877730137828,2.25504207734448,-0.294566458624448,NA,NA,NA,NA,NA,NA,"241 210",NA,NA
0.447507804645768,2.00987668193138,-0.163759444625988,NA,NA,NA,NA,NA,NA,"261 210",NA,NA
0.105067940801436,1.01733755642897,0.822402679240649,NA,NA,NA,NA,NA,NA,"261 M220",NA,NA
86.638931356128,3.72945255943388,-2.3953824788734,NA,NA,NA,NA,NA,NA,"313 230",NA,NA
5.20205063730464,2.11430032981337,-0.975485996675869,NA,NA,NA,NA,NA,NA,"316 210",NA,NA
0.133774415350984,1.94530262757561,0.0980013409333877,NA,NA,NA,NA,NA,NA,"316 230",NA,NA
4.50540102310219,2.14216748953037,-0.839655223650943,NA,NA,NA,NA,NA,NA,"316 M220",NA,NA
0.392154716495551,1.74987670965361,-0.119781703928095,NA,NA,NA,NA,NA,NA,"318 210",NA,NA
11.6523713429607,2.79110053465726,-1.52075190365904,NA,NA,NA,NA,NA,NA,"351 240",NA,NA
7.59235513474105,1.52982365273798,-0.790471533912243,NA,NA,NA,NA,NA,NA,"371 210",NA,NA
68.158759063975,3.17227639016783,-2.11870937598229,NA,NA,NA,NA,NA,NA,"375 210",NA,NA
2.87927592408401,2.7669849174161,-0.999972542684765,NA,NA,NA,NA,NA,NA,"375 M210",NA,NA
0.0988517006711923,2.3409366985892,-0.0642644874461033,NA,NA,NA,NA,NA,NA,"400 210",NA,NA
0.00161024776819656,1.78136534980815,1.30804800350216,NA,NA,NA,NA,NA,NA,"400 230",NA,NA
0.00362431084053264,1.57693776387828,1.10948848319644,NA,NA,NA,NA,NA,NA,"461 230",NA,NA
0.713461736101448,2.26312676383544,-0.434861857760658,NA,NA,NA,NA,NA,NA,"491 230",NA,NA
0.324919956053669,1.60950872313742,-0.150994354584697,NA,NA,NA,NA,NA,NA,"531 210",NA,NA
0.857703803360294,2.40902860517434,-0.713260749788532,NA,NA,NA,NA,NA,NA,"540 230",NA,NA
0.118000159677994,1.32862844059633,0.351061791023861,NA,NA,NA,NA,NA,NA,"541 210",NA,NA
0.041451864706086,1.27065263971891,0.669962506870108,NA,NA,NA,NA,NA,NA,"544 230",NA,NA
