CN,STRATUM_CN,PLT_CN,STATECD,INVYR,UNITCD,COUNTYCD,PLOT,RSCD,EVALID,ESTN_UNIT,STRATUMCD,CREATED_DATE,MODIFIED_DATE
74760178010538,74759930010538,73490445010538,10,2006,1,1,376,24,100600,2,5,2009-04-29 10:59:32,
74760157010538,74759929010538,65355140010538,10,2005,1,1,385,24,100600,2,4,2009-04-29 10:59:32,
74760113010538,74759926010538,73490574010538,10,2006,1,1,390,24,100600,2,1,2009-04-29 10:59:32,
74760096010538,74759926010538,60134673010538,10,2004,1,1,402,24,100600,2,1,2009-04-29 10:59:32,
74760085010538,74759926010538,73490214010538,10,2006,1,1,407,24,100600,2,1,2009-04-29 10:59:32,
74760079010538,74759926010538,73490054010538,10,2006,1,1,422,24,100600,2,1,2009-04-29 10:59:32,
74760077010538,74759926010538,65354729010538,10,2005,1,1,426,24,100600,2,1,2009-04-29 10:59:32,
74760167010538,74759930010538,73489730010538,10,2006,1,1,435,24,100600,2,5,2009-04-29 10:59:32,
74760176010538,74759930010538,60134441010538,10,2004,1,1,450,24,100600,2,5,2009-04-29 10:59:32,
74760117010538,74759926010538,65361762010538,10,2005,1,1,454,24,100600,2,1,2009-04-29 10:59:32,
74760154010538,74759929010538,60134078010538,10,2004,1,1,470,24,100600,2,4,2009-04-29 10:59:32,
74760097010538,74759926010538,65361692010538,10,2005,1,1,471,24,100600,2,1,2009-04-29 10:59:32,
74760175010538,74759930010538,65354774010538,10,2005,1,1,488,24,100600,2,5,2009-04-29 10:59:32,
74760100010538,74759926010538,60134701010538,10,2004,1,1,491,24,100600,2,1,2009-04-29 10:59:32,
74760174010538,74759930010538,73490358010538,10,2006,1,1,495,24,100600,2,5,2009-04-29 10:59:32,
74760182010538,74759930010538,60135027010538,10,2004,1,1,499,24,100600,2,5,2009-04-29 10:59:32,
74760086010538,74759926010538,73490231010538,10,2006,1,1,516,24,100600,2,1,2009-04-29 10:59:32,
74760103010538,74759926010538,65361720010538,10,2005,1,1,522,24,100600,2,1,2009-04-29 10:59:32,
74760111010538,74759926010538,73490557010538,10,2006,1,1,533,24,100600,2,1,2009-04-29 10:59:32,
74760171010538,74759930010538,60134269010538,10,2004,1,1,538,24,100600,2,5,2009-04-29 10:59:32,
74760101010538,74759926010538,60134715010538,10,2004,1,1,542,24,100600,2,1,2009-04-29 10:59:32,
74760095010538,74759926010538,65361678010538,10,2005,1,1,570,24,100600,2,1,2009-04-29 10:59:32,
74760120010538,74759926010538,73490778010538,10,2006,1,1,574,24,100600,2,1,2009-04-29 10:59:32,
74760089010538,74759926010538,65354761010538,10,2005,1,1,587,24,100600,2,1,2009-04-29 10:59:32,
74760058010538,74759926010538,65361947010538,10,2005,1,3,6,24,100600,2,1,2009-04-29 10:59:32,
74760122010538,74759926010538,65361791010538,10,2005,1,3,19,24,100600,2,1,2009-04-29 10:59:32,
74760135010538,74759926010538,60135290010538,10,2004,1,3,24,24,100600,2,1,2009-04-29 10:59:32,
74760134010538,74759926010538,65361905010538,10,2005,1,3,26,24,100600,2,1,2009-04-29 10:59:32,
74760141010538,74759927010538,73491023010538,10,2006,1,3,28,24,100600,2,2,2009-04-29 10:59:32,
74760125010538,74759926010538,65361833010538,10,2005,1,3,32,24,100600,2,1,2009-04-29 10:59:32,
74760139010538,74759926010538,65355453010538,10,2005,1,3,58,24,100600,2,1,2009-04-29 10:59:32,
74760126010538,74759926010538,73491006010538,10,2006,1,3,79,24,100600,2,1,2009-04-29 10:59:32,
74760186010538,74759930010538,73491055010538,10,2006,1,3,99,24,100600,2,5,2009-04-29 10:59:32,
74760053010538,74759926010538,73491172010538,10,2006,1,3,113,24,100600,2,1,2009-04-29 10:59:32,
74760128010538,74759926010538,60135234010538,10,2004,1,3,120,24,100600,2,1,2009-04-29 10:59:32,
74760162010538,74759930010538,60135389010538,10,2004,1,3,123,24,100600,2,5,2009-04-29 10:59:32,
74760131010538,74759926010538,65361891010538,10,2005,1,3,135,24,100600,2,1,2009-04-29 10:59:32,
74760130010538,74759926010538,65361875010538,10,2005,1,3,162,24,100600,2,1,2009-04-29 10:59:32,
74760123010538,74759926010538,65361805010538,10,2005,1,3,201,24,100600,2,1,2009-04-29 10:59:32,
74760166010538,74759930010538,73491389010538,10,2006,1,3,203,24,100600,2,5,2009-04-29 10:59:32,
