"JENKINS_SPGRPCD","equation","a","b","c"
1,1,0.533879162094,1.406444117599,0.140813780321
2,1,5.283087706773,1.9638662772,-0.627486802388
3,1,1.166751266951,1.870489765999,-0.184122364347
4,1,2.907354607175,2.427910288447,-0.827824824437
5,1,4.462024983392,2.337033381186,-0.72547304977
6,1,0.19413556879,1.755572237767,-0.022224992876
7,1,0.308712403616,1.614565842869,0.011692232809
8,1,0.224842334323,1.842407924212,-0.071910485099
9,1,0.294576339481,1.681051225941,0.084742743371
10,1,15.969396404376,1.467356930253,-0.516598582005
