"JENKINS_SPGRPCD","equation","alpha","beta"
1,6,2.191076546403,0.797602660396
2,6,2.203905935108,0.929990422716
3,6,2.287775069182,0.942886745849
4,6,2.114877963609,0.912880025061
5,6,2.242154837561,0.902971036827
6,6,2.277389983629,0.953178587256
7,6,2.454410128416,0.901628487258
8,6,2.353772358051,0.831640004254
9,6,2.458870604868,0.860345981154
