"JENKINS_SPGRPCD","equation","a","b","c"
1,5,0.52374288635,1.921978570141,0.782795459899
2,5,0.388264779898,1.726525223906,0.984599834678
3,5,0.772534536296,2.184545296409,0.5758320114
4,5,0.353043430033,2.204853567891,0.728083165038
5,5,0.947256394176,1.904257585856,0.723009832676
6,5,1.65079803098,2.107712563844,0.480721830164
7,5,0.332263990744,2.06078676806,0.850173608329
8,5,0.433906440864,2.115626101921,0.735074517922
9,5,0.303328093827,2.016003559908,0.90367239573
