"a","b","c","SPCD","JENKINS_SPGRPCD"
1.76789698624336,2.37551127407739,-0.440089360032891,"11",NA
1.76789698624336,2.53868739627071,-0.440089360032891,"16",NA
1.76789698624336,2.5794408165299,-0.440089360032891,"17",NA
1.76789698624336,2.45535471918313,-0.440089360032891,"20",NA
40.6373852929218,3.20807393534482,-1.82211703170171,"68",NA
40.6373852929218,3.20807401936193,-1.82211703170171,"73",NA
3.18069690303043,2.79077721377414,-0.722447255271738,"97",NA
3.18069690303043,2.79077511204983,-0.722447255271738,"98",NA
2.1776004023966,3.27031926676709,-0.966812486164568,"116",NA
2.1776004023966,3.37534425224658,-0.966812486164568,"123",NA
2.1776004023966,3.38506603384374,-0.966812486164568,"126",NA
40.6373852929218,3.20807372506069,-1.82211703170171,"211",NA
40.6373852929218,3.20807374128654,-1.82211703170171,"221",NA
1.76789698624336,2.41204106183426,-0.440089360032891,"264",NA
2.2439996389966,3.17203172988338,-0.698427914221461,"370",NA
0.758420483720897,3.02269602824074,-0.257945085480966,"402",NA
0.758420483720897,2.82290814155154,-0.257945085480966,"403",NA
1.96699026617456,3.13086913927828,-0.652108323479523,"460",NA
1.96699026617456,3.21518344110758,-0.652108323479523,"462",NA
1.96699026617456,3.18791636654256,-0.652108323479523,"471",NA
1.96699026617456,2.92432361604207,-0.652108323479523,"521",NA
1.96699026617456,2.84946124979139,-0.652108323479523,"543",NA
1.96699026617456,3.02734037168589,-0.652108323479523,"591",NA
1.96699026617456,3.15359621545813,-0.652108323479523,"602",NA
1.96699026617456,2.80486930736303,-0.652108323479523,"653",NA
1.96699026617456,2.97788843422691,-0.652108323479523,"693",NA
1.96699026617456,2.86861232605853,-0.652108323479523,"711",NA
1.96699026617456,2.90563173681735,-0.652108323479523,"731",NA
1.01022309694949,3.00814141413925,-0.589318704265551,"742",NA
0.758420483720897,2.82379915894046,-0.257945085480966,"813",NA
0.758420483720897,3.08613454207345,-0.257945085480966,"819",NA
0.758420483720897,2.79839865817898,-0.257945085480966,"820",NA
0.758420483720897,2.71437663208009,-0.257945085480966,"823",NA
0.758420483720897,2.95377259454609,-0.257945085480966,"824",NA
0.758420483720897,2.79893192784634,-0.257945085480966,"835",NA
0.758420483720897,2.89855624941451,-0.257945085480966,"840",NA
0.758420483720897,3.11936941329638,-0.257945085480966,"842",NA
1.96699026617456,2.93279421376508,-0.652108323479523,"901",NA
1.01022309694949,3.00814062566262,-0.589318704265551,"920",NA
1.01022309694949,3.00814029360388,-0.589318704265551,"922",NA
1.96699026617456,2.87177076827507,-0.652108323479523,"951",NA
1.96699026617456,3.00063257798166,-0.652108323479523,"999",NA
40.6373852929218,3.20807385648476,-1.82211703170171,NA,"1"
4.38819224923609,2.34645087923532,-0.58481013072141,NA,"2"
1.76789698624336,2.49533371825852,-0.440089360032891,NA,"3"
2.1776004023966,3.2979519594036,-0.966812486164568,NA,"4"
3.18069690303043,2.79077687162551,-0.722447255271738,NA,"5"
1.01022309694949,3.00814089800531,-0.589318704265551,NA,"6"
2.2439996389966,3.06028445373228,-0.698427914221461,NA,"7"
1.96699026617456,2.97457711483155,-0.652108323479523,NA,"8"
0.758420483720897,2.86036398411819,-0.257945085480966,NA,"9"
