"a","b","c","SPCD","JENKINS_SPGRPCD"
0.349568157341925,2.03659558452296,0.61061413372823,"11",NA
0.349568157341925,2.06885934159357,0.61061413372823,"16",NA
0.349568157341925,2.0838127387672,0.61061413372823,"17",NA
0.349568157341925,2.07000043122838,0.61061413372823,"20",NA
0.301398903965957,2.03423714817784,0.695059530800833,"68",NA
0.301398903965957,1.99158953226334,0.695059530800833,"73",NA
0.3716157251474,2.04390464826649,0.646763187052974,"97",NA
0.3716157251474,1.97040330534396,0.646763187052974,"98",NA
0.148830681689951,2.05756389251181,0.810673827207171,"116",NA
0.148830681689951,2.15117916447284,0.810673827207171,"123",NA
0.148830681689951,2.19044758141331,0.810673827207171,"126",NA
0.301398903965957,1.90469155565254,0.695059530800833,"211",NA
0.301398903965957,1.84425738007599,0.695059530800833,"221",NA
0.349568157341925,2.07475158089445,0.61061413372823,"264",NA
0.531644988679018,2.2040513413691,0.517144891419673,"370",NA
0.426589681353192,2.16051486782096,0.637323715259768,"402",NA
0.426589681353192,2.16506594029179,0.637323715259768,"403",NA
0.359289578385334,2.06322198649725,0.610643492496613,"460",NA
0.359289578385334,2.19963668405614,0.610643492496613,"462",NA
0.359289578385334,2.21498290406015,0.610643492496613,"471",NA
0.359289578385334,2.16884716176521,0.610643492496613,"521",NA
0.359289578385334,2.12518601782282,0.610643492496613,"543",NA
0.359289578385334,2.17603785633388,0.610643492496613,"591",NA
0.359289578385334,2.17925471243547,0.610643492496613,"602",NA
0.359289578385334,2.05545287802737,0.610643492496613,"653",NA
0.359289578385334,2.11323822519866,0.610643492496613,"693",NA
0.359289578385334,2.07168920829033,0.610643492496613,"711",NA
0.359289578385334,2.0838719330437,0.610643492496613,"731",NA
0.183406634633971,1.9805571580447,0.776309007599401,"742",NA
0.426589681353192,2.05476100725517,0.637323715259768,"813",NA
0.426589681353192,2.24134917211907,0.637323715259768,"819",NA
0.426589681353192,2.12930132023119,0.637323715259768,"820",NA
0.426589681353192,2.02381744906966,0.637323715259768,"823",NA
0.426589681353192,2.17492188547653,0.637323715259768,"824",NA
0.426589681353192,2.09374342174894,0.637323715259768,"835",NA
0.426589681353192,2.17050512666945,0.637323715259768,"840",NA
0.426589681353192,2.23783172387918,0.637323715259768,"842",NA
0.359289578385334,2.15972064089016,0.610643492496613,"901",NA
0.183406634633971,1.93493752395504,0.776309007599401,"920",NA
0.183406634633971,1.92892579356305,0.776309007599401,"922",NA
0.359289578385334,2.04306793040774,0.610643492496613,"951",NA
0.359289578385334,2.10136857987999,0.610643492496613,"999",NA
0.301398903965957,1.93079751228722,0.695059530800833,NA,"1"
0.198299344943416,1.83193301325476,0.891829441443301,NA,"2"
0.349568157341925,2.06079507815934,0.61061413372823,NA,"3"
0.148830681689951,2.11098552436397,0.810673827207171,NA,"4"
0.3716157251474,1.98450906137296,0.646763187052974,NA,"5"
0.183406634633971,2.02175698683649,0.776309007599401,NA,"6"
0.531644988679018,2.13630218482412,0.517144891419673,NA,"7"
0.359289578385334,2.12871075956623,0.610643492496613,NA,"8"
0.426589681353192,2.11904925722237,0.637323715259768,NA,"9"
