"alpha","beta","SPCD","JENKINS_SPGRPCD"
2.35215083960522,0.957851079508917,"16",NA
2.53613752209345,0.957851079508917,"18",NA
1.96956777551599,0.859797274194757,"73",NA
2.301919069966,0.92603228070542,"96",NA
2.25766401163992,0.93454172247833,"101",NA
2.34722053704548,0.93454172247833,"113",NA
2.18461076333309,0.93454172247833,"116",NA
2.41356128423782,0.93454172247833,"130",NA
2.69399834778039,0.914348166805581,"311",NA
2.53617971505172,0.914348166805581,"315",NA
2.44681702566849,0.914348166805581,"372",NA
2.65550698031014,0.914348166805581,"373",NA
2.61869357515023,0.914348166805581,"374",NA
2.56508770691034,0.88850463846318,"391",NA
2.50324287910022,0.892221069951718,"402",NA
2.54619391251064,0.892221069951718,"405",NA
2.39781756338696,0.892221069951718,"409",NA
2.64282514626837,0.88850463846318,"462",NA
2.27785179698934,0.88850463846318,"471",NA
2.7194558094837,0.88850463846318,"552",NA
2.43335311021977,0.88850463846318,"601",NA
2.45163000606492,0.88850463846318,"652",NA
2.82519763282456,0.88850463846318,"680",NA
2.54558173147243,0.88850463846318,"701",NA
2.45017080217476,0.88850463846318,"711",NA
2.6409793704818,0.892221069951718,"804",NA
2.58612867829077,0.892221069951718,"817",NA
2.61498935100123,0.892221069951718,"826",NA
2.57929002625765,0.892221069951718,"830",NA
2.67678535571243,0.892221069951718,"834",NA
2.45724638402621,0.971787751505521,"920",NA
2.59630476270483,0.971787751505521,"922",NA
2.18798555440911,0.88850463846318,"931",NA
2.53115127623106,0.88850463846318,"971",NA
2.48242084127913,0.88850463846318,"975",NA
2.27761988071939,0.859797274194757,NA,"1"
2.22731730035826,0.944564203633007,NA,"2"
2.33634751569752,0.957851079508917,NA,"3"
2.17656624215176,0.93454172247833,NA,"4"
2.30039087939117,0.92603228070542,NA,"5"
2.39567621228812,0.971787751505521,NA,"6"
2.56057375053861,0.914348166805581,NA,"7"
2.49641193189128,0.88850463846318,NA,"8"
2.56305026112875,0.892221069951718,NA,"9"
