"a","b","c","SPCD","JENKINS_SPGRPCD"
2.26384123077547,2.14991348663445,-0.503239821283697,"16",NA
2.26384123077547,2.27028719757321,-0.503239821283697,"20",NA
1.22999296804848,1.91003854588997,-0.28212741179944,"68",NA
1.22999296804848,1.95069612727241,-0.28212741179944,"81",NA
6.9116347269638,2.76986153720488,-0.986830404354702,"91",NA
6.9116347269638,2.5222117100097,-0.986830404354702,"98",NA
6.85736243677281,2.17350983850539,-1.1040922866657,"101",NA
6.85736243677281,2.78142671245609,-1.1040922866657,"116",NA
6.85736243677281,2.56369233722929,-1.1040922866657,"119",NA
6.85736243677281,2.34404173314841,-1.1040922866657,"123",NA
6.85736243677281,2.43717688883498,-1.1040922866657,"126",NA
6.85736243677281,2.06858701562793,-1.1040922866657,"128",NA
1.22999296804848,1.72952958534522,-0.28212741179944,"212",NA
1.22999296804848,1.1116876257405,-0.28212741179944,"221",NA
1.22999296804848,1.54920632783077,-0.28212741179944,"222",NA
1.22999296804848,2.0484879696011,-0.28212741179944,"242",NA
2.7682871126063,1.89095030283427,-0.812510842683963,"312",NA
1.36909812011561,2.12849212354111,-0.70645386810054,"361",NA
2.7682871126063,2.33026464468371,-0.812510842683963,"370",NA
2.7682871126063,2.27571012429218,-0.812510842683963,"372",NA
0.383493367846839,1.98695435119961,-0.131159328275588,"402",NA
0.383493367846839,2.03713354674307,-0.131159328275588,"403",NA
1.36909812011561,2.29831312575838,-0.70645386810054,"431",NA
1.36909812011561,2.37823485542243,-0.70645386810054,"460",NA
1.36909812011561,2.28749081696799,-0.70645386810054,"462",NA
1.36909812011561,2.12979974435415,-0.70645386810054,"471",NA
1.36909812011561,2.35663320051021,-0.70645386810054,"521",NA
1.36909812011561,1.99065163295197,-0.70645386810054,"543",NA
1.36909812011561,2.28672188262143,-0.70645386810054,"591",NA
1.36909812011561,2.44042138414927,-0.70645386810054,"631",NA
1.36909812011561,2.24936402727898,-0.70645386810054,"653",NA
1.36909812011561,2.24502806419361,-0.70645386810054,"693",NA
1.36909812011561,1.99635189174593,-0.70645386810054,"711",NA
1.36909812011561,2.39795137306946,-0.70645386810054,"731",NA
1.36909812011561,2.14792230120308,-0.70645386810054,"761",NA
0.383493367846839,1.89101628058055,-0.131159328275588,"800",NA
0.383493367846839,1.85245037629176,-0.131159328275588,"807",NA
0.383493367846839,2.0415642622957,-0.131159328275588,"813",NA
0.383493367846839,2.56914866897073,-0.131159328275588,"819",NA
0.383493367846839,2.03031277553592,-0.131159328275588,"820",NA
0.383493367846839,1.80720400473278,-0.131159328275588,"823",NA
0.383493367846839,2.57931628514967,-0.131159328275588,"824",NA
0.383493367846839,1.93259894321443,-0.131159328275588,"835",NA
0.383493367846839,2.36967135075172,-0.131159328275588,"840",NA
0.383493367846839,2.36873366099214,-0.131159328275588,"842",NA
1.36909812011561,2.30544932392415,-0.70645386810054,"901",NA
0.682168963276545,2.08187586700978,-0.485308401390809,"920",NA
0.682168963276545,2.20014035713728,-0.485308401390809,"922",NA
1.36909812011561,2.19677849448658,-0.70645386810054,"931",NA
1.36909812011561,2.27066860691054,-0.70645386810054,"935",NA
1.36909812011561,2.13458948773909,-0.70645386810054,"951",NA
1.36909812011561,2.0069878583292,-0.70645386810054,"952",NA
1.22999296804848,1.69194177984222,-0.28212741179944,NA,"1"
3.37238101781145,1.98700841460892,-0.535835135129695,NA,"2"
2.26384123077547,2.16251271269863,-0.503239821283697,NA,"3"
6.85736243677281,2.47924263235041,-1.1040922866657,NA,"4"
6.9116347269638,2.59773629109557,-0.986830404354702,NA,"5"
0.682168963276545,2.0923721535562,-0.485308401390809,NA,"6"
2.7682871126063,2.19985649462177,-0.812510842683963,NA,"7"
1.36909812011561,2.20826273209325,-0.70645386810054,NA,"8"
0.383493367846839,2.00058193250005,-0.131159328275588,NA,"9"
