"VOLUME_REG","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"Western WA","VMERIB",2,4128354327.12307,4000664494.8137,-127689832.30937,-3.0929959541131,"Merchantable wood volume"
"Western WA","WMERBCH",2,5580345244.20724,8543656320.07338,2963311075.86615,53.102647707008,"Top and limb weight"
"Western WA","WMEROB",2,87594203434.9075,131449170254.44,43854966819.532,50.0660604238741,"Merch bole wood and bark weight"
"Western WA","WSTPOB",2,5834731689.92972,8837225520.66394,3002493830.73422,51.4589871530217,"Stump wood and bark weight"
"Western WA Silver Fir Zone","BIOMASS",1,732469454418.138,706870714215.53,-25598740202.6083,-3.49485429709059,"Total aboveground biomass"
"Western WA Silver Fir Zone","CARBON",1,366234727689.799,352947183795.321,-13287543894.4786,-3.62814962368429,"Total aboveground carbon"
"Western WA Silver Fir Zone","VMERIB",1,19952430728.9762,19328916195.8792,-623514533.097031,-3.12500537687131,"Merchantable wood volume"
"Western WA Silver Fir Zone","WMERBCH",1,96033397713.5845,106339704817.784,10306307104.1996,10.7320029797734,"Top and limb weight"
"Western WA Silver Fir Zone","WMEROB",1,596807180268.468,565554218373.856,-31252961894.6119,-5.2366933455045,"Merch bole wood and bark weight"
"Western WA Silver Fir Zone","WSTPOB",1,25888098231.2783,18768928612.2375,-7119169619.04075,-27.4997782975008,"Stump wood and bark weight"
"Western WA Silver Fir Zone","BIOMASS",2,58768913809.2473,77305660412.3689,18536746603.1216,31.5417546481944,"Total aboveground biomass"
"Western WA Silver Fir Zone","CARBON",2,29384456938.3403,38434462847.8701,9050005909.52978,30.7986155011138,"Total aboveground carbon"
"Western WA Silver Fir Zone","VMERIB",2,2290861614.91736,2139262037.84092,-151599577.076439,-6.61757899688357,"Merchantable wood volume"
"Western WA Silver Fir Zone","WMERBCH",2,3234403132.38169,6529229219.79262,3294826087.41094,101.868133085339,"Top and limb weight"
"Western WA Silver Fir Zone","WMEROB",2,51924765929.8588,66711665132.2821,14786899202.4233,28.477546191345,"Merch bole wood and bark weight"
