"SPCD","COMMON_NAME","HWSW","DIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"108","lodgepole pine","Softwood","M20","WMERBCH",1,1716146069.45224,7379031752.02083,5662885682.56859,329.976904843307,"Top and limb weight"
"108","lodgepole pine","Softwood","M20","WMEROB",1,9759033403.2461,9977026675.25134,217993272.005247,2.23375884678023,"Merch bole wood and bark weight"
"108","lodgepole pine","Softwood","M20","WSTPOB",1,497288543.115243,592871611.898006,95583068.7827632,19.2208467510607,"Stump wood and bark weight"
"108","lodgepole pine","Softwood","M20","BIOMASS",2,3197623741.56061,4737441435.54186,1539817693.98125,48.155061959533,"Total aboveground biomass"
"108","lodgepole pine","Softwood","M20","CARBON",2,1598811876.05623,2383880530.36466,785068654.308431,49.1032538640475,"Total aboveground carbon"
"108","lodgepole pine","Softwood","M20","VMERIB",2,109801085.711325,114159145.023896,4358059.31257063,3.96904938083061,"Merchantable wood volume"
"108","lodgepole pine","Softwood","M20","WMERBCH",2,214689301.882924,1476982341.59621,1262293039.71328,587.962711063101,"Top and limb weight"
"108","lodgepole pine","Softwood","M20","WMEROB",2,2755668545.08167,3015744220.76901,260075675.687338,9.43784317426425,"Merch bole wood and bark weight"
"108","lodgepole pine","Softwood","M20","WSTPOB",2,141654183.906904,195743817.603319,54089633.6964155,38.184282457879,"Stump wood and bark weight"
"108","lodgepole pine","Softwood","","BIOMASS",1,1568652111.33071,2205936921.14523,637284809.814515,40.6262679412005,"Total aboveground biomass"
"108","lodgepole pine","Softwood","","CARBON",1,784326059.65192,1110027458.72028,325701399.068359,41.5262753366762,"Total aboveground carbon"
"108","lodgepole pine","Softwood","","VMERIB",1,41911363.931177,45302354.6615248,3390990.73034774,8.09086226808583,"Merchantable wood volume"
"108","lodgepole pine","Softwood","","WMERBCH",1,193149418.430843,771177433.681324,578028015.25048,299.264693596497,"Top and limb weight"
"108","lodgepole pine","Softwood","","WMEROB",1,1082250662.58457,1138846759.84203,56596097.2574666,5.22948141443564,"Merch bole wood and bark weight"
"108","lodgepole pine","Softwood","","WSTPOB",1,57429784.0152312,67746810.580142,10317026.5649108,17.9645923135887,"Stump wood and bark weight"
"108","lodgepole pine","Softwood","","VSAWIB",1,30123104.2115051,29114447.4556027,-1008656.75590238,-3.34844891422954,"Sawlog wood volume"
"108","lodgepole pine","Softwood","","BIOMASS",2,293613313.255231,420485742.410478,126872429.155247,43.2107208452636,"Total aboveground biomass"
"108","lodgepole pine","Softwood","","CARBON",2,146806657.900484,211588425.580952,64781767.6804687,44.1272682090362,"Total aboveground carbon"
