"DIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"M220","WMEROB",2,75569718853.2008,143250287406.062,67680568552.8617,89.5604344967005,"Merch bole wood and bark weight"
"M220","WSTPOB",2,6302693500.48181,10115413330.2517,3812719829.76992,60.4934990013151,"Stump wood and bark weight"
"M230","BIOMASS",1,420635978496.177,488047673728.686,67411695232.509,16.0261362980679,"Total aboveground biomass"
"M230","CARBON",1,210317990249.392,232713891754.524,22395901505.1317,10.6485904884195,"Total aboveground carbon"
"M230","VMERIB",1,8179530466.60677,8571444246.56431,391913779.957542,4.79139703137662,"Merchantable wood volume"
"M230","WMERBCH",1,63619513532.0879,107141215564.685,43521702032.5971,68.4093599845681,"Top and limb weight"
"M230","WMEROB",1,294946748468.239,311359378198.366,16412629730.1262,5.56460778610467,"Merch bole wood and bark weight"
"M230","WSTPOB",1,18580596427.8083,18346866845.2758,-233729582.532455,-1.25792292750436,"Stump wood and bark weight"
"M230","VSAWIB",1,5010039857.86664,5179023237.98242,168983380.115783,3.37289492518606,"Sawlog wood volume"
"M230","BIOMASS",2,8019826506.25313,18334537718.4679,10314711212.2148,128.615141539188,"Total aboveground biomass"
"M230","CARBON",2,4009913276.96362,8725851073.73102,4715937796.76739,117.606977284516,"Total aboveground carbon"
"M230","VMERIB",2,127618061.833354,136313842.928863,8695781.09550898,6.81391095475504,"Merchantable wood volume"
"M230","WMERBCH",2,664672587.891698,2904873953.14119,2240201365.24949,337.038326246502,"Top and limb weight"
"M230","WMEROB",2,5941085537.54245,13408116428.9584,7467030891.41594,125.68462184614,"Merch bole wood and bark weight"
"M230","WSTPOB",2,561763281.577376,1162304604.73948,600541323.162108,106.902914956607,"Stump wood and bark weight"
"M240","BIOMASS",1,5781772330485.47,5699364254619.4,-82408075866.0684,-1.42530821270074,"Total aboveground biomass"
"M240","CARBON",1,2890886168623.68,2883737895855.57,-7148272768.10889,-0.247269257630857,"Total aboveground carbon"
"M240","VMERIB",1,153086621554.582,149727380085.166,-3359241469.41599,-2.19434032530288,"Merchantable wood volume"
"M240","VSAWIB",1,139825290421.965,132283443254.27,-7541847167.69492,-5.39376470804039,"Sawlog wood volume"
"M240","WMERBCH",1,784662408174.278,849352738780.374,64690330606.0961,8.24435195724681,"Top and limb weight"
"M240","WMEROB",1,4685400861710.48,4576287816729.17,-109113044981.317,-2.32878782844386,"Merch bole wood and bark weight"
"M240","WSTPOB",1,205011579805.029,147707858815.334,-57303720989.6945,-27.9514557393255,"Stump wood and bark weight"
"M240","BIOMASS",2,455605262572.041,634425782650.474,178820520078.434,39.2490023203273,"Total aboveground biomass"
"M240","CARBON",2,227802631558.545,318700564004.477,90897932445.9314,39.902055487261,"Total aboveground carbon"
"M240","VMERIB",2,17478495550.8829,16897454456.3908,-581041094.49213,-3.3243198351976,"Merchantable wood volume"
"M240","WMERBCH",2,30731720890.946,63343203813.2072,32611482922.2612,106.11668327324,"Top and limb weight"
"M240","WMEROB",2,397566206509.343,537894338173.326,140328131663.983,35.2967956950046,"Merch bole wood and bark weight"
"M240","WSTPOB",2,23469997210.9921,28814170711.1354,5344173500.14329,22.7702349177969,"Stump wood and bark weight"
"M260","BIOMASS",1,3880558589093.61,4280015818371.17,399457229277.559,10.2938074533971,"Total aboveground biomass"
"M260","CARBON",1,1940279297188.91,2153465447128.67,213186149939.757,10.9873949718797,"Total aboveground carbon"
"M260","VMERIB",1,98203668732.6178,95537853070.6455,-2665815661.97227,-2.71457848405906,"Merchantable wood volume"
"M260","WMERBCH",1,556584333044.976,886908621414.526,330324288369.55,59.3484704397631,"Top and limb weight"
"M260","WMEROB",1,3073795583610.43,3165668499953.08,91872916342.6479,2.98890781262479,"Merch bole wood and bark weight"
"M260","WSTPOB",1,137122762574.342,127481010203.683,-9641752370.65912,-7.03147470897241,"Stump wood and bark weight"
"M260","BIOMASS",2,348451926608.257,479094648489.85,130642721881.593,37.4923230166169,"Total aboveground biomass"
