"SPCD","COMMON_NAME","HWSW","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"121","longleaf pine","Softwood","VMERIB",2,78213641.624481,78538259.2176224,324617.593141422,0.415039609969798,"Merchantable wood volume"
"121","longleaf pine","Softwood","WMERBCH",2,220154317.585108,668808632.96506,448654315.379952,203.790831949734,"Top and limb weight"
"121","longleaf pine","Softwood","WMEROB",2,2897729874.91808,4783510366.65169,1885780491.73361,65.0778565682186,"Merch bole wood and bark weight"
"121","longleaf pine","Softwood","WSTPOB",2,252968850.445458,283288856.200895,30320005.7554371,11.9856676828179,"Stump wood and bark weight"
"122","ponderosa pine","Softwood","BIOMASS",1,1639074297059.56,1944480176256.39,305405879196.833,18.6328270624901,"Total aboveground biomass"
"122","ponderosa pine","Softwood","CARBON",1,819537149683.543,998166490478.281,178629340794.738,21.796368946022,"Total aboveground carbon"
"122","ponderosa pine","Softwood","VMERIB",1,45573448789.5465,46805642473.1999,1232193683.65343,2.70375342744757,"Merchantable wood volume"
"122","ponderosa pine","Softwood","WMERBCH",1,223964768839.372,486525418706.196,262560649866.824,117.233014472528,"Top and limb weight"
"122","ponderosa pine","Softwood","WMEROB",1,1335551147063.26,1356571869771.23,21020722707.9688,1.57393618014489,"Merch bole wood and bark weight"
"122","ponderosa pine","Softwood","WSTPOB",1,56592354933.3085,57519925092.9182,927570159.609711,1.63903792429704,"Stump wood and bark weight"
"122","ponderosa pine","Softwood","VSAWIB",1,40626534629.6386,41404839806.5509,778305176.912285,1.91575575915471,"Sawlog wood volume"
"122","ponderosa pine","Softwood","BIOMASS",2,120532849730.974,162674984607.783,42142134876.8092,34.9631946567839,"Total aboveground biomass"
"122","ponderosa pine","Softwood","CARBON",2,60266424941.3484,83506492098.662,23240067157.3136,38.5622130065471,"Total aboveground carbon"
"122","ponderosa pine","Softwood","VMERIB",2,3776726926.73557,4032567779.09919,255840852.363627,6.77414219578656,"Merchantable wood volume"
"122","ponderosa pine","Softwood","WMERBCH",2,10619431693.6689,32290867122.4784,21671435428.8096,204.073401043953,"Top and limb weight"
"122","ponderosa pine","Softwood","WMEROB",2,104482045941.469,122946923235.662,18464877294.1921,17.6727753824193,"Merch bole wood and bark weight"
"122","ponderosa pine","Softwood","WSTPOB",2,4876091410.55907,6420293995.61918,1544202585.06012,31.6688604671393,"Stump wood and bark weight"
"123","Table Mountain pine","Softwood","BIOMASS",1,10268637513.0701,10488031146.3858,219393633.315687,2.13654083159951,"Total aboveground biomass"
"123","Table Mountain pine","Softwood","CARBON",1,5134318764.61103,4990729621.00767,-143589143.603361,-2.79665424346202,"Total aboveground carbon"
"123","Table Mountain pine","Softwood","VMERIB",1,237189797.333515,224635509.669272,-12554287.664243,-5.2929290405313,"Merchantable wood volume"
"123","Table Mountain pine","Softwood","VSAWIB",1,173303608.421128,160012350.172001,-13291258.2491267,-7.66934882095988,"Sawlog wood volume"
"123","Table Mountain pine","Softwood","WMERBCH",1,1326076451.24556,2608462555.62706,1282386104.38151,96.7052920046191,"Top and limb weight"
"123","Table Mountain pine","Softwood","WMEROB",1,8144794037.66411,7314473573.31812,-830320464.345993,-10.1944930774962,"Merch bole wood and bark weight"
"123","Table Mountain pine","Softwood","WSTPOB",1,545294730.646308,368112915.354647,-177181815.291661,-32.4928530084376,"Stump wood and bark weight"
"123","Table Mountain pine","Softwood","BIOMASS",2,637805561.184509,1029741821.60652,391936260.422013,61.450743655186,"Total aboveground biomass"
"123","Table Mountain pine","Softwood","CARBON",2,318902781.557171,490002645.811463,171099864.254293,53.6526722717279,"Total aboveground carbon"
