"DCLASS","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
44,"VMERIB",2,975742554.55293,965976333.28532,-9766221.26761019,-1.00090143881087,"Merchantable wood volume"
44,"WMERBCH",2,1607719869.68834,3803463240.88339,2195743371.19505,136.574997460267,"Top and limb weight"
44,"WMEROB",2,23366104353.2667,34409769638.888,11043665285.6213,47.2636136458809,"Merch bole wood and bark weight"
44,"WSTPOB",2,1033611227.66099,1443629319.98091,410018092.319925,39.668502174437,"Stump wood and bark weight"
46,"BIOMASS",2,19779113445.7025,30600622238.0696,10821508792.3671,54.7117989998602,"Total aboveground biomass"
46,"CARBON",2,9889556723.74545,15508770141.7934,5619213418.04798,56.819669222948,"Total aboveground carbon"
46,"VMERIB",2,753229007.032735,745452834.760184,-7776172.27255058,-1.03237822759694,"Merchantable wood volume"
46,"WMERBCH",2,1170794270.98707,2572035670.99198,1401241400.00491,119.682973749397,"Top and limb weight"
46,"WMEROB",2,17791860397.7045,26815190563.2884,9023330165.58393,50.7160575897286,"Merch bole wood and bark weight"
46,"WSTPOB",2,816458777.01098,1213396003.78924,396937226.778265,48.6169342476095,"Stump wood and bark weight"
46,"BIOMASS",1,208679369355.021,235335754435.367,26656385080.3466,12.7738478234505,"Total aboveground biomass"
46,"CARBON",1,104339684680.549,118645141576.709,14305456896.1601,13.7104659075387,"Total aboveground carbon"
46,"VMERIB",1,5733985113.07443,5756396337.3124,22411224.2379704,0.390849013313081,"Merchantable wood volume"
46,"VSAWIB",1,5589694757.06776,5440871144.14549,-148823612.922267,-2.66246404124466,"Sawlog wood volume"
46,"WMERBCH",1,26979071320.9599,46231003431.2431,19251932110.2832,71.3587650266023,"Top and limb weight"
46,"WMEROB",1,176407971879.133,184839521291.185,8431549412.05215,4.77957391734491,"Merch bole wood and bark weight"
46,"WSTPOB",1,5292326154.92846,4265229712.9397,-1027096441.98876,-19.4072778570587,"Stump wood and bark weight"
48,"BIOMASS",1,166574843966.019,187359070149.289,20784226183.2705,12.4774099668438,"Total aboveground biomass"
48,"CARBON",1,83287421985.234,94767781003.6555,11480359018.4215,13.7840249401127,"Total aboveground carbon"
48,"VMERIB",1,4658728952.05508,4707755675.46991,49026723.4148283,1.05236264911272,"Merchantable wood volume"
48,"VSAWIB",1,4709228803.43361,4572236071.14677,-136992732.286839,-2.9090268917695,"Sawlog wood volume"
48,"WMERBCH",1,21609651107.2699,32417311044.9019,10807659937.632,50.0131162876394,"Top and limb weight"
48,"WMEROB",1,140851151783.537,151715255343.692,10864103560.1548,7.71318049060117,"Merch bole wood and bark weight"
48,"WSTPOB",1,4114041075.21186,3226503760.69552,-887537314.516337,-21.5733702773163,"Stump wood and bark weight"
