"DCLASS","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
10,"WMEROB",2,295738993882.864,393412198093.551,97673204210.6873,33.026826435128,"Merch bole wood and bark weight"
10,"WSTPOB",2,21586100878.795,26938508357.2511,5352407478.45607,24.7956196837474,"Stump wood and bark weight"
12,"BIOMASS",1,6486862232421.45,7121933232492.79,635071000071.344,9.79011080113969,"Total aboveground biomass"
12,"CARBON",1,3243431118285.84,3448795653577.43,205364535291.59,6.33170638752844,"Total aboveground carbon"
12,"VMERIB",1,151021698832.047,155530824518.355,4509125686.30759,2.98574689675702,"Merchantable wood volume"
12,"VSAWIB",1,111006706828.044,109886872866.519,-1119833961.52449,-1.00879847130244,"Sawlog wood volume"
12,"WMERBCH",1,1109326374664.18,1595440141677.96,486113767013.779,43.8206264735154,"Top and limb weight"
12,"WMEROB",1,5075044916617.84,5242779467993.2,167734551375.358,3.30508506094448,"Merch bole wood and bark weight"
12,"WSTPOB",1,302490941139.434,283713622821.641,-18777318317.7936,-6.20756385201569,"Stump wood and bark weight"
12,"BIOMASS",2,347263502095.842,511550201748.014,164286699652.172,47.308945126871,"Total aboveground biomass"
12,"CARBON",2,173631751262.189,250921137443.247,77289386181.0589,44.5133943643463,"Total aboveground carbon"
12,"VMERIB",2,11504766961.6804,11708436301.6594,203669339.979027,1.77030391538917,"Merchantable wood volume"
12,"WMERBCH",2,33952005553.22,96226138989.0707,62274133435.8506,183.418129271437,"Top and limb weight"
12,"WMEROB",2,293670936839.037,390711542158.956,97040605319.9188,33.0439935134294,"Merch bole wood and bark weight"
12,"WSTPOB",2,19640559703.5851,24612520599.9881,4971960896.40298,25.3147617554677,"Stump wood and bark weight"
14,"BIOMASS",1,6185186824334.25,6842575685366.72,657388861032.467,10.6284398467337,"Total aboveground biomass"
14,"CARBON",1,3092593413510.55,3313074098967.14,220480685456.596,7.1293136851869,"Total aboveground carbon"
14,"VMERIB",1,144747424025.802,148713242924.948,3965818899.14551,2.73982001810172,"Merchantable wood volume"
14,"VSAWIB",1,115990240127.415,118005299979.152,2015059851.73773,1.73726672996297,"Sawlog wood volume"
14,"WMERBCH",1,1007224870593.44,1557994971717.84,550770101124.402,54.6819401709072,"Top and limb weight"
14,"WMEROB",1,4909141135615.17,5034285649704.31,125144514089.142,2.54921401996848,"Merch bole wood and bark weight"
14,"WSTPOB",1,268820818125.645,250295063944.568,-18525754181.0768,-6.89148791014318,"Stump wood and bark weight"
14,"BIOMASS",2,287229619418.321,430844581190.853,143614961772.533,50.0000529413967,"Total aboveground biomass"
14,"CARBON",2,143614809835.433,211158425620.871,67543615785.4384,47.0310937032442,"Total aboveground carbon"
14,"VMERIB",2,9579032815.29058,9774992584.87644,195959769.585863,2.04571560996285,"Merchantable wood volume"
14,"WMERBCH",2,26671119168.9551,80717944262.1694,54046825093.2143,202.641759240926,"Top and limb weight"
14,"WMEROB",2,245066422578.693,330239333173.175,85172910594.4816,34.755030778291,"Merch bole wood and bark weight"
14,"WSTPOB",2,15492077670.6725,19887303755.5091,4395226084.83661,28.3707981477336,"Stump wood and bark weight"
16,"BIOMASS",1,5475429504268.19,6105385857498.59,629956353230.397,11.5051495547397,"Total aboveground biomass"
16,"CARBON",1,2737714752989.18,2956747720912.12,219032967922.932,8.00057667380357,"Total aboveground carbon"
16,"VMERIB",1,129206983482.64,132129359024.19,2922375541.55011,2.2617783209394,"Merchantable wood volume"
16,"VSAWIB",1,108227581123.76,111476999444.76,3249418320.99979,3.00239392515298,"Sawlog wood volume"
16,"WMERBCH",1,856128574099.093,1432007657024.86,575879082925.765,67.2654902952824,"Top and limb weight"
16,"WMEROB",1,4395818645063.26,4465848095977.55,70029450914.2935,1.59309235818771,"Merch bole wood and bark weight"
16,"WSTPOB",1,223482285105.839,207530104496.179,-15952180609.6601,-7.13800675615308,"Stump wood and bark weight"
16,"BIOMASS",2,250884718347.908,377098212268.388,126213493920.48,50.3073661686546,"Total aboveground biomass"
16,"CARBON",2,125442359257.992,185001835240.549,59559475982.5573,47.4795566145755,"Total aboveground carbon"
16,"VMERIB",2,8436912320.32528,8548409877.26764,111497556.942363,1.3215445735255,"Merchantable wood volume"
16,"WMERBCH",2,22016489311.3638,70215124709.8764,48198635398.5126,218.920622252136,"Top and limb weight"
16,"WMEROB",2,215765608426.563,290046200445.508,74280592018.9442,34.4265207790175,"Merch bole wood and bark weight"
16,"WSTPOB",2,13102620609.9807,16836887113.0037,3734266503.02296,28.5001498110877,"Stump wood and bark weight"
18,"BIOMASS",1,4531454071732.52,5085134794118.09,553680722385.572,12.2186104861895,"Total aboveground biomass"
18,"CARBON",1,2265727036399.16,2465367699426.27,199640663027.112,8.81132898270017,"Total aboveground carbon"
18,"VMERIB",1,108020045271.712,109678640557.352,1658595285.63991,1.5354513891083,"Merchantable wood volume"
18,"VSAWIB",1,92780585398.4426,95800900302.6609,3020314904.21826,3.25533072597854,"Sawlog wood volume"
18,"WMERBCH",1,684494837423.78,1232213400843.74,547718563419.96,80.0179246758673,"Top and limb weight"
18,"WMEROB",1,3672001560105.87,3690622755606.56,18621195500.6841,0.507112951775195,"Merch bole wood and bark weight"
18,"WSTPOB",1,174957674202.867,162298637667.795,-12659036535.0718,-7.23548514962159,"Stump wood and bark weight"
18,"BIOMASS",2,200622661046.946,306625249969.702,106002588922.755,52.8367973834971,"Total aboveground biomass"
18,"CARBON",2,100311330577.271,150459534739.421,50148204162.1504,49.9925620301894,"Total aboveground carbon"
18,"VMERIB",2,6775571556.11453,6901943109.77539,126371553.660863,1.8651054396558,"Merchantable wood volume"
18,"WMERBCH",2,16823553189.0368,55789862020.0187,38966308830.982,231.617592271618,"Top and limb weight"
18,"WMEROB",2,173616743742.775,237307434370.894,63690690628.1193,36.6846476066165,"Merch bole wood and bark weight"
18,"WSTPOB",2,10182364115.1351,13527953578.789,3345589463.65394,32.8567062209163,"Stump wood and bark weight"
20,"BIOMASS",1,3546845679822.45,4007437169675.35,460591489852.897,12.9859467095832,"Total aboveground biomass"
20,"CARBON",1,1773422840238.31,1946486547309.02,173063707070.713,9.75873904090784,"Total aboveground carbon"
20,"VMERIB",1,85753683989.1776,86658020106.2092,904336117.031631,1.05457407187983,"Merchantable wood volume"
20,"VSAWIB",1,74963595636.2868,77301462183.5438,2337866547.25696,3.11866917190041,"Sawlog wood volume"
20,"WMERBCH",1,518973667145.093,995648915470.908,476675248325.815,91.8496021094936,"Top and limb weight"
20,"WMEROB",1,2897519064962.39,2891240065554.1,-6278999408.2876,-0.216702608939317,"Merch bole wood and bark weight"
20,"WSTPOB",1,130352947714.971,120548188650.34,-9804759064.63138,-7.52170107121046,"Stump wood and bark weight"
20,"BIOMASS",2,166856207800.509,252796030865.999,85939823065.4899,51.5053195792621,"Total aboveground biomass"
20,"CARBON",2,83428103935.8355,124447810788.066,41019706852.2302,49.1677323552486,"Total aboveground carbon"
20,"VMERIB",2,5698381760.803,5800146920.58369,101765159.780694,1.78586068909419,"Merchantable wood volume"
20,"WMERBCH",2,13778923141.3241,45866431041.4466,32087507900.1225,232.873843412984,"Top and limb weight"
20,"WMEROB",2,144949456689.099,196285877412.615,51336420723.5156,35.4167734713394,"Merch bole wood and bark weight"
20,"WSTPOB",2,8127827970.08561,10643722411.9374,2515894441.85181,30.9540808579061,"Stump wood and bark weight"
22,"BIOMASS",1,2760418638220.41,3135332399485.49,374913761265.074,13.5817718397516,"Total aboveground biomass"
22,"CARBON",1,1380209319316.5,1525969166263.93,145759846947.432,10.5607058949301,"Total aboveground carbon"
22,"VMERIB",1,67560479440.4193,67958529011.5217,398049571.102394,0.589175172229837,"Merchantable wood volume"
