"NF_REGION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
4,"WMEROB",2,274247551965.107,317121182727.268,42873630762.1613,15.6331863146827,"Merch bole wood and bark weight"
4,"WSTPOB",2,15340511805.4536,16368106707.4388,1027594901.9853,6.6985698718343,"Stump wood and bark weight"
5,"BIOMASS",1,2069403472645.41,2341139663092.85,271736190447.448,13.1311362931114,"Total aboveground biomass"
5,"CARBON",1,1034701737536.86,1183307557777.79,148605820240.926,14.3621891072384,"Total aboveground carbon"
5,"VMERIB",1,54959711217.1199,54011195827.4404,-948515389.67955,-1.7258376521165,"Merchantable wood volume"
5,"WMERBCH",1,288441504125.922,468085347832.328,179643843706.406,62.2808580376773,"Top and limb weight"
5,"WMEROB",1,1664925809759.08,1768729653232.78,103803843473.698,6.23474288555348,"Merch bole wood and bark weight"
5,"WSTPOB",1,69481786431.2974,64306950068.9506,-5174836362.34681,-7.44775951819203,"Stump wood and bark weight"
5,"BIOMASS",2,226276363588.612,313174724773.636,86898361185.0239,38.4036404893848,"Total aboveground biomass"
5,"CARBON",2,113138181913.348,158204367244.288,45066185330.9404,39.832870361534,"Total aboveground carbon"
5,"VMERIB",2,7910122353.78318,7602294059.50157,-307828294.281611,-3.89157437159472,"Merchantable wood volume"
5,"WMERBCH",2,21796096815.9322,42296340303.366,20500243487.4338,94.0546541913357,"Top and limb weight"
5,"WMEROB",2,191821658204.954,256416685777.652,64595027572.6981,33.6745225628698,"Merch bole wood and bark weight"
5,"WSTPOB",2,9775560066.47901,12158256908.5319,2382696842.0529,24.3740187349809,"Stump wood and bark weight"
5,"VSAWIB",1,49783581822.2769,49356925437.1105,-426656385.166397,-0.85702227431028,"Sawlog wood volume"
6,"BIOMASS",1,3815334308622.6,3929015509661.55,113681201038.946,2.97958689444404,"Total aboveground biomass"
6,"CARBON",1,1907667156818.98,1981728945907.95,74061789088.9739,3.88232238649384,"Total aboveground carbon"
6,"VMERIB",1,102083687081.512,101728533576.156,-355153505.355911,-0.347904269045775,"Merchantable wood volume"
6,"WMERBCH",1,507622455597.732,593113390653.918,85490935056.1856,16.8414407427108,"Top and limb weight"
6,"WMEROB",1,3097804695278.9,3144633155063.43,46828459784.5298,1.51166598255523,"Merch bole wood and bark weight"
6,"WSTPOB",1,133050641456.332,101564124096.332,-31486517360.0001,-23.6650624268761,"Stump wood and bark weight"
6,"VSAWIB",1,95103081537.1165,91427485096.8025,-3675596440.31395,-3.86485525064659,"Sawlog wood volume"
6,"BIOMASS",2,421527298887.25,575831380424.321,154304081537.071,36.6059521991585,"Total aboveground biomass"
