"VOLUME_REG","SPCD","COMMON_NAME","HWSW","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"Alaska","746","quaking aspen","Hardwood","WMEROB",2,587866504.38231,981936455.685465,394069951.303155,67.0339181371147,"Merch bole wood and bark weight"
"Alaska","746","quaking aspen","Hardwood","WSTPOB",2,40394981.7980737,54812221.4716581,14417239.6735843,35.6906700581107,"Stump wood and bark weight"
"Alaska","746","quaking aspen","Hardwood","VSAWIB",1,86666866.0800478,64946572.7923427,-21720293.2877051,-25.061819205097,"Sawlog wood volume"
"Alaska","747","black cottonwood","Hardwood","BIOMASS",1,20544370335.6747,31398488065.6999,10854117730.0252,52.8325646037316,"Total aboveground biomass"
"Alaska","747","black cottonwood","Hardwood","CARBON",1,10272185186.1277,15138781020.8772,4866595834.74948,47.3764417849639,"Total aboveground carbon"
"Alaska","747","black cottonwood","Hardwood","VMERIB",1,683250308.776665,777070063.178401,93819754.4017367,13.7313885111472,"Merchantable wood volume"
"Alaska","747","black cottonwood","Hardwood","VSAWIB",1,646358053.629457,606046319.14762,-40311734.4818364,-6.2367497790855,"Sawlog wood volume"
"Alaska","747","black cottonwood","Hardwood","WMERBCH",1,3661329428.53831,9099584259.8121,5438254831.27378,148.532245934638,"Top and limb weight"
"Alaska","747","black cottonwood","Hardwood","WMEROB",1,15996584189.523,20748170106.8283,4751585917.30536,29.7037533826592,"Merch bole wood and bark weight"
"Alaska","747","black cottonwood","Hardwood","WSTPOB",1,545932445.093979,833629785.876068,287697340.782089,52.6983408602072,"Stump wood and bark weight"
"Alaska","747","black cottonwood","Hardwood","BIOMASS",2,594668381.795202,1316582675.6213,721914293.826102,121.397793446957,"Total aboveground biomass"
"Alaska","747","black cottonwood","Hardwood","CARBON",2,297334192.286482,634790337.050812,337456144.76433,113.493891223647,"Total aboveground carbon"
"Alaska","747","black cottonwood","Hardwood","VMERIB",2,28286118.2963028,32791758.166814,4505639.87051116,15.9288023309302,"Merchantable wood volume"
"Alaska","747","black cottonwood","Hardwood","WMERBCH",2,53129724.4071736,194812671.521039,141682947.113865,266.673596926724,"Top and limb weight"
"Alaska","747","black cottonwood","Hardwood","WMEROB",2,502402788.323505,1036549987.50336,534147199.179856,106.318518048493,"Merch bole wood and bark weight"
"Alaska","747","black cottonwood","Hardwood","WSTPOB",2,27622158.0402923,68008875.7371924,40386717.6969002,146.211304844423,"Stump wood and bark weight"
"Alaska","94","white spruce","Hardwood","BIOMASS",1,16353243892.9485,26500158206.9285,10146914313.9799,62.0483274168942,"Total aboveground biomass"
"Alaska","94","white spruce","Hardwood","CARBON",1,8176622010.10565,13558364277.2715,5381742267.16583,65.8186505443743,"Total aboveground carbon"
"Alaska","94","white spruce","Hardwood","VMERIB",1,408650581.339081,452565279.497223,43914698.1581424,10.7462708150912,"Merchantable wood volume"
"Alaska","94","white spruce","Hardwood","WMERBCH",1,1911113433.78413,7331658780.677,5420545346.89287,283.632842042235,"Top and limb weight"
"Alaska","94","white spruce","Hardwood","WMEROB",1,10727764292.6009,15063631547.8355,4335867255.23455,40.4172494563946,"Merch bole wood and bark weight"
"Alaska","94","white spruce","Hardwood","WSTPOB",1,703148758.91594,1018125446.35437,314976687.43843,44.7951707863406,"Stump wood and bark weight"
"Alaska","94","white spruce","Hardwood","VSAWIB",1,235474754.376606,221451302.036876,-14023452.3397301,-5.95539525111966,"Sawlog wood volume"
"Alaska","94","white spruce","Hardwood","BIOMASS",2,8343318622.58959,16116787362.5968,7773468740.00716,93.1699853696159,"Total aboveground biomass"
"Alaska","94","white spruce","Hardwood","CARBON",2,4171659323.2705,8245885640.94991,4074226317.67941,97.6644064617745,"Total aboveground carbon"
"Alaska","94","white spruce","Hardwood","VMERIB",2,272138245.765317,300783901.256531,28645655.491214,10.5261410099325,"Merchantable wood volume"
"Alaska","94","white spruce","Hardwood","WMERBCH",2,874624561.239345,4004067872.20711,3129443310.96777,357.80418818028,"Top and limb weight"
"Alaska","94","white spruce","Hardwood","WMEROB",2,6986604136.82171,11186381966.0995,4199777829.27781,60.1118618864291,"Merch bole wood and bark weight"
"Alaska","94","white spruce","Hardwood","WSTPOB",2,447062010.571225,899244865.648284,452182855.077059,101.14544389475,"Stump wood and bark weight"
"Alaska","95","black spruce","Hardwood","BIOMASS",1,9310025437.22178,12938535571.2618,3628510134.04006,38.974223631368,"Total aboveground biomass"
"Alaska","95","black spruce","Hardwood","CARBON",1,4655012849.77325,6206615513.5343,1551602663.76105,33.3318663950976,"Total aboveground carbon"
"Alaska","95","black spruce","Hardwood","VMERIB",1,72118414.6105472,77199014.0743868,5080599.46383958,7.04480192926557,"Merchantable wood volume"
"Alaska","95","black spruce","Hardwood","WMERBCH",1,387983583.045533,1642399198.69854,1254415615.65301,323.316673815498,"Top and limb weight"
"Alaska","95","black spruce","Hardwood","WMEROB",1,1955782170.62013,2209241199.65643,253459029.036304,12.9594712971506,"Merch bole wood and bark weight"
"Alaska","95","black spruce","Hardwood","WSTPOB",1,156638995.524989,214076857.84801,57437862.3230214,36.6689419390832,"Stump wood and bark weight"
"Alaska","95","black spruce","Hardwood","BIOMASS",2,608126937.35932,901764321.44889,293637384.08957,48.2855413977609,"Total aboveground biomass"
"Alaska","95","black spruce","Hardwood","CARBON",2,304063475.287838,432576344.999033,128512869.711195,42.2651453251791,"Total aboveground carbon"
"Alaska","95","black spruce","Hardwood","VSAWIB",1,2675677.82256535,2545173.24668866,-130504.575876696,-4.87743983136101,"Sawlog wood volume"
"Alaska","95","black spruce","Hardwood","VMERIB",2,13237942.0123276,14010426.385346,772484.373018369,5.83538115138295,"Merchantable wood volume"
"Alaska","95","black spruce","Hardwood","WMERBCH",2,53569952.2576417,251262904.106284,197692951.848643,369.037013320171,"Top and limb weight"
"Alaska","95","black spruce","Hardwood","WMEROB",2,353887248.155189,406269657.319326,52382409.1641376,14.8020052819667,"Merch bole wood and bark weight"
"Alaska","95","black spruce","Hardwood","WSTPOB",2,28756794.1482722,44461066.1601577,15704272.0118855,54.6106493335562,"Stump wood and bark weight"
"Alaska","98","Sitka spruce","Hardwood","BIOMASS",1,406151866795.332,483124446565.418,76972579770.0859,18.9516744998427,"Total aboveground biomass"
"Alaska","98","Sitka spruce","Hardwood","CARBON",1,203075933658.876,241320661059.426,38244727400.5502,18.8327226724921,"Total aboveground carbon"
