"NF_REGION","SPCD","COMMON_NAME","HWSW","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
1,"951","American basswood","Hardwood","WMERBCH",1,34422247.0881513,85325552.0476665,50903304.9595152,147.879087699179,"Top and limb weight"
1,"951","American basswood","Hardwood","WMEROB",1,145365296.084009,152101439.595482,6736143.51147258,4.63394200193397,"Merch bole wood and bark weight"
1,"951","American basswood","Hardwood","WSTPOB",1,5855745.44472181,8651944.89862026,2796199.45389845,47.751383325907,"Stump wood and bark weight"
1,"951","American basswood","Hardwood","VSAWIB",1,3447163.5440581,3872115.69223278,424952.148174684,12.3275888348024,"Sawlog wood volume"
1,"972","American elm","Hardwood","BIOMASS",1,30185193.9827776,40494503.2152977,10309309.2325202,34.1535298345349,"Total aboveground biomass"
1,"972","American elm","Hardwood","CARBON",1,15092597.0546854,19311828.5833755,4219231.52869005,27.9556362195478,"Total aboveground carbon"
1,"972","American elm","Hardwood","VMERIB",1,640437.133342016,427484.38280549,-212952.750536526,-33.2511560385743,"Merchantable wood volume"
1,"972","American elm","Hardwood","WMERBCH",1,7537180.60069416,18535461.6860156,10998281.0853214,145.920360251266,"Top and limb weight"
1,"972","American elm","Hardwood","WMEROB",1,20844845.3719181,18962782.6796201,-1882062.69229795,-9.02891174637084,"Merch bole wood and bark weight"
1,"972","American elm","Hardwood","WSTPOB",1,1803168.01016532,2996258.849662,1193090.83949668,66.1663712294502,"Stump wood and bark weight"
1,"543","black ash","Hardwood","BIOMASS",1,5194062.4062622,5735083.69355656,541021.287294355,10.4161491521949,"Total aboveground biomass"
1,"543","black ash","Hardwood","CARBON",1,2597031.22064791,2752840.17290715,155808.952259238,5.99950247114731,"Total aboveground carbon"
1,"543","black ash","Hardwood","VMERIB",1,109108.034838682,85511.0227504143,-23597.0120882677,-21.6271992462849,"Merchantable wood volume"
1,"543","black ash","Hardwood","WMERBCH",1,1348052.84865273,2384658.0921796,1036605.24352688,76.8964840334622,"Top and limb weight"
1,"543","black ash","Hardwood","WMEROB",1,3532167.51044705,2918610.37294623,-613557.137500826,-17.3705560590237,"Merch bole wood and bark weight"
1,"543","black ash","Hardwood","WSTPOB",1,313842.047162421,431815.228430728,117973.181268307,37.5899858973494,"Stump wood and bark weight"
1,"11","Pacific silver fir","Softwood","BIOMASS",1,47991016.8697323,50506833.5100784,2515816.64034604,5.24226574980691,"Total aboveground biomass"
1,"11","Pacific silver fir","Softwood","CARBON",1,23995508.4892879,24908286.7260537,912778.236765761,3.80395454913257,"Total aboveground carbon"
1,"11","Pacific silver fir","Softwood","VMERIB",1,1340254.95104817,1357858.29216796,17603.3411197877,1.31343227689781,"Merchantable wood volume"
1,"11","Pacific silver fir","Softwood","VSAWIB",1,717683.940914893,659256.977391355,-58426.9635235374,-8.14104373703215,"Sawlog wood volume"
