"TYPGRPCD","TYPGRPCD_MEANING","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
180,"Pinyon / juniper group","WSTPOB",2,692623970.838461,1175047471.80284,482423500.964375,69.6515744871454,"Stump wood and bark weight"
200,"Douglas-fir group","BIOMASS",1,5829730809335.55,5904434181003.39,74703371667.8379,1.28142060261531,"Total aboveground biomass"
200,"Douglas-fir group","CARBON",1,2914865408107.48,3018088282206.63,103222874099.158,3.54125695862497,"Total aboveground carbon"
200,"Douglas-fir group","VMERIB",1,147866703302.709,145780814629.176,-2085888673.53284,-1.41065474981387,"Merchantable wood volume"
200,"Douglas-fir group","VSAWIB",1,130572564616.854,126445199400.399,-4127365216.45442,-3.16097430464476,"Sawlog wood volume"
200,"Douglas-fir group","WMERBCH",1,793663128093.607,957525041154.595,163861913060.988,20.6462801736282,"Top and limb weight"
200,"Douglas-fir group","WMEROB",1,4714136823007.63,4655744590927.82,-58392232079.8125,-1.23866222539035,"Merch bole wood and bark weight"
200,"Douglas-fir group","WSTPOB",1,210932115898.089,158375619157.578,-52556496740.5113,-24.9163085084225,"Stump wood and bark weight"
200,"Douglas-fir group","BIOMASS",2,425260506489.089,634704396650.096,209443890161.007,49.2507267816042,"Total aboveground biomass"
200,"Douglas-fir group","CARBON",2,212630253585.419,321911582376.938,109281328791.519,51.3950046847957,"Total aboveground carbon"
200,"Douglas-fir group","VMERIB",2,15003044996.8951,15039152156.4429,36107159.5478249,0.240665541930304,"Merchantable wood volume"
200,"Douglas-fir group","WMERBCH",2,35234493107.5234,98417858538.58,63183365431.0566,179.322475956282,"Top and limb weight"
200,"Douglas-fir group","WMEROB",2,361922560824.954,502624078685.983,140701517861.029,38.8761390117041,"Merch bole wood and bark weight"
200,"Douglas-fir group","WSTPOB",2,22863806464.6191,27621409775.5902,4757603310.9711,20.8084481397851,"Stump wood and bark weight"
220,"Ponderosa pine group","BIOMASS",2,74359699360.7344,105124453872.513,30764754511.7782,41.3728871636933,"Total aboveground biomass"
220,"Ponderosa pine group","CARBON",2,37179849746.6261,53545270684.3397,16365420937.7135,44.0169098294933,"Total aboveground carbon"
220,"Ponderosa pine group","VMERIB",2,2398520219.98711,2523434329.66646,124914109.679358,5.20796567143507,"Merchantable wood volume"
220,"Ponderosa pine group","WMERBCH",2,6781013137.81627,19538790746.762,12757777608.9457,188.139697559326,"Top and limb weight"
220,"Ponderosa pine group","WMEROB",2,63368021999.8271,80033782146.3822,16665760146.5552,26.2999532265669,"Merch bole wood and bark weight"
220,"Ponderosa pine group","WSTPOB",2,3454767998.17801,4613821106.71323,1159053108.53521,33.5493760839072,"Stump wood and bark weight"
220,"Ponderosa pine group","BIOMASS",1,1470570165193.21,1734772277438.3,264202112245.085,17.9659643924826,"Total aboveground biomass"
220,"Ponderosa pine group","CARBON",1,735285083829.783,888404118439.861,153119034610.078,20.8244445559193,"Total aboveground carbon"
220,"Ponderosa pine group","VMERIB",1,40284769812.2027,41242443538.0169,957673725.814209,2.3772600173183,"Merchantable wood volume"
220,"Ponderosa pine group","VSAWIB",1,35209620894.9239,35792373604.4103,582752709.486412,1.65509509808561,"Sawlog wood volume"
220,"Ponderosa pine group","WMERBCH",1,201341384845.438,431025495999.504,229684111154.066,114.076950116533,"Top and limb weight"
220,"Ponderosa pine group","WMEROB",1,1187268516632.14,1204595301334.11,17326784701.968,1.45938214138095,"Merch bole wood and bark weight"
220,"Ponderosa pine group","WSTPOB",1,52424080390.6029,53311015262.0279,886934871.425011,1.69184631340523,"Stump wood and bark weight"
240,"Western white pine group","BIOMASS",1,19719506658.1946,24872305043.5156,5152798385.321,26.1304629706835,"Total aboveground biomass"
240,"Western white pine group","CARBON",1,9859753344.99063,12144507631.7227,2284754286.73204,23.1725298472384,"Total aboveground carbon"
240,"Western white pine group","VMERIB",1,602079919.055292,584702823.342347,-17377095.7129446,-2.88617759253798,"Merchantable wood volume"
240,"Western white pine group","WMERBCH",1,2616212352.90926,7431000190.26078,4814787837.35152,184.036583727518,"Top and limb weight"
240,"Western white pine group","WMEROB",1,15985417437.9491,16187438209.5995,202020771.650362,1.26378164620692,"Merch bole wood and bark weight"
240,"Western white pine group","WSTPOB",1,632389294.230263,713409790.369605,81020496.1393421,12.8118070433117,"Stump wood and bark weight"
240,"Western white pine group","VSAWIB",1,556481258.587433,527275785.125839,-29205473.4615937,-5.24824026162689,"Sawlog wood volume"
240,"Western white pine group","BIOMASS",2,3431465690.73742,4618228791.69548,1186763100.95806,34.5847287403018,"Total aboveground biomass"
