"TYPGRPCD","TYPGRPCD_MEANING","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
970,"Woodland hardwoods group","VSAWIB",1,1010422808.37131,971859733.353362,-38563075.0179524,-3.81652855601228,"Sawlog wood volume"
970,"Woodland hardwoods group","WMERBCH",1,8944651475.11571,23842075843.9864,14897424368.8707,166.55120001395,"Top and limb weight"
970,"Woodland hardwoods group","WMEROB",1,45446431947.7456,44154702432.3428,-1291729515.40276,-2.84231227852604,"Merch bole wood and bark weight"
970,"Woodland hardwoods group","WSTPOB",1,2429200152.31387,3162751338.04121,733551185.727339,30.1972311762214,"Stump wood and bark weight"
970,"Woodland hardwoods group","BIOMASS",2,16666014273.4015,26644630927.2395,9978616653.83809,59.8740436083972,"Total aboveground biomass"
970,"Woodland hardwoods group","CARBON",2,8333007149.56235,13388381484.3515,5055374334.78914,60.66686664315,"Total aboveground carbon"
970,"Woodland hardwoods group","VMERIB",2,538327480.73215,584757360.287899,46429879.5557481,8.6248391950196,"Merchantable wood volume"
970,"Woodland hardwoods group","WMERBCH",2,1602040764.54455,6301294375.05927,4699253610.51472,293.329215742565,"Top and limb weight"
970,"Woodland hardwoods group","WMEROB",2,14164533572.4452,19091803445.9374,4927269873.49223,34.7859662889108,"Merch bole wood and bark weight"
970,"Woodland hardwoods group","WSTPOB",2,799657870.806672,1171696218.77429,372038347.967618,46.5246903144112,"Stump wood and bark weight"
980,"Tropical hardwoods group","BIOMASS",1,120198456575.826,132900188670.45,12701732094.6244,10.5673004932568,"Total aboveground biomass"
980,"Tropical hardwoods group","CARBON",1,60099228629.2889,62957689278.9987,2858460649.70982,4.75623517123941,"Total aboveground carbon"
980,"Tropical hardwoods group","VMERIB",1,2049487548.10801,1846890405.94316,-202597142.164849,-9.88525850532135,"Merchantable wood volume"
980,"Tropical hardwoods group","VSAWIB",1,64441190.1364301,63376596.1236559,-1064594.01277421,-1.6520396512236,"Sawlog wood volume"
980,"Tropical hardwoods group","WMERBCH",1,19362656872.5445,41250489055.5327,21887832182.9883,113.041471152776,"Top and limb weight"
980,"Tropical hardwoods group","WMEROB",1,77643884932.4231,67344951426.8942,-10298933505.5289,-13.2643201901767,"Merch bole wood and bark weight"
980,"Tropical hardwoods group","WSTPOB",1,5486722470.25725,6640020087.2707,1153297617.01345,21.0197913830218,"Stump wood and bark weight"
980,"Tropical hardwoods group","BIOMASS",2,1753808898.29823,3307104993.8059,1553296095.50767,88.5670096106185,"Total aboveground biomass"
980,"Tropical hardwoods group","CARBON",2,876904458.476688,1548879733.56279,671975275.086105,76.6303864224188,"Total aboveground carbon"
980,"Tropical hardwoods group","VMERIB",2,31781797.4342568,33508875.2555344,1727077.82127762,5.43417289362007,"Merchantable wood volume"
980,"Tropical hardwoods group","WMERBCH",2,145945413.253426,357647845.327336,211702432.07391,145.055899568629,"Top and limb weight"
980,"Tropical hardwoods group","WMEROB",2,1007512354.12635,2202506546.84903,1194994192.72268,118.608391036446,"Merch bole wood and bark weight"
980,"Tropical hardwoods group","WSTPOB",2,109588783.259049,287840278.225298,178251494.966248,162.654871844769,"Stump wood and bark weight"
990,"Exotic hardwoods group","BIOMASS",1,59682360445.0111,67722900207.0691,8040539762.05804,13.4722214438323,"Total aboveground biomass"
990,"Exotic hardwoods group","CARBON",1,29841180410.9696,31798769025.6804,1957588614.71085,6.56002405987679,"Total aboveground carbon"
990,"Exotic hardwoods group","VMERIB",1,989182742.074671,973913299.476287,-15269442.5983833,-1.54364223605012,"Merchantable wood volume"
990,"Exotic hardwoods group","WMERBCH",1,10073224365.9232,16166633232.2536,6093408866.33038,60.4911460817234,"Top and limb weight"
990,"Exotic hardwoods group","WMEROB",1,35881516296.9463,36079964311.2717,198448014.325417,0.553064738633427,"Merch bole wood and bark weight"
990,"Exotic hardwoods group","WSTPOB",1,2671142881.69797,3015570978.91296,344428097.214996,12.8944093397225,"Stump wood and bark weight"
990,"Exotic hardwoods group","BIOMASS",2,1598590435.75709,3003617933.63542,1405027497.87833,87.8916491961192,"Total aboveground biomass"
990,"Exotic hardwoods group","CARBON",2,799295225.497978,1423306362.33253,624011136.834548,78.0701694353016,"Total aboveground carbon"
990,"Exotic hardwoods group","VMERIB",2,36129192.0393347,38503949.2650706,2374757.22573592,6.57295968077688,"Merchantable wood volume"
990,"Exotic hardwoods group","WMERBCH",2,135029052.069022,426629001.32327,291599949.254248,215.953489109286,"Top and limb weight"
990,"Exotic hardwoods group","WMEROB",2,1002530782.22599,2088999723.78509,1086468941.5591,108.372626638629,"Merch bole wood and bark weight"
990,"Exotic hardwoods group","WSTPOB",2,117631209.462082,213938614.306658,96307404.844576,81.8723239223517,"Stump wood and bark weight"
990,"Exotic hardwoods group","VSAWIB",1,170958569.131705,168579313.331092,-2379255.80061278,-1.39171485389529,"Sawlog wood volume"
999,"Nonstocked","BIOMASS",1,46865893490.0256,54478919031.0857,7613025541.06016,16.244276965893,"Total aboveground biomass"
999,"Nonstocked","CARBON",1,23432946806.8348,27125543157.5038,3692596350.66906,15.7581390898392,"Total aboveground carbon"
999,"Nonstocked","BIOMASS",2,210250344731.741,289581071791.911,79330727060.1692,37.7315562366318,"Total aboveground biomass"
999,"Nonstocked","CARBON",2,105125172535.797,145038330518.544,39913157982.7473,37.9672698935702,"Total aboveground carbon"
999,"Nonstocked","VMERIB",2,7064427248.82608,7018486924.98002,-45940323.8460598,-0.650305003193201,"Merchantable wood volume"
999,"Nonstocked","WMERBCH",2,20601322478.4348,64243440966.1684,43642118487.7336,211.841344328344,"Top and limb weight"
999,"Nonstocked","WMEROB",2,177376991227.824,211746055599.422,34369064371.5981,19.3762810687517,"Merch bole wood and bark weight"
999,"Nonstocked","WSTPOB",2,9847614259.40079,10841745747.2642,994131487.863426,10.0951505783688,"Stump wood and bark weight"
999,"Nonstocked","VMERIB",1,1160809479.25732,1108448421.54789,-52361057.7094276,-4.51073657176954,"Merchantable wood volume"
999,"Nonstocked","WMERBCH",1,7201429438.60929,16411359148.3997,9209929709.79039,127.890299950908,"Top and limb weight"
999,"Nonstocked","WMEROB",1,36298747129.7706,34372090526.2414,-1926656603.52919,-5.3077771434955,"Merch bole wood and bark weight"
999,"Nonstocked","WSTPOB",1,2011999556.55765,2288977746.16905,276978189.611404,13.7663146449837,"Stump wood and bark weight"
999,"Nonstocked","VSAWIB",1,777065437.767063,742269631.29431,-34795806.4727529,-4.47784765369831,"Sawlog wood volume"
