"STATECD","STATENM","RSCD","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
51,"Virginia",33,"CARBON",1,1009391155963.51,1127403648494.36,118012492530.858,11.6914529945737,"Total aboveground carbon"
51,"Virginia",33,"VMERIB",1,40452212953.752,42071947465.4796,1619734511.72761,4.00406898277583,"Merchantable wood volume"
51,"Virginia",33,"VSAWIB",1,25064836038.5656,26015675607.8871,950839569.321457,3.79352000491231,"Sawlog wood volume"
51,"Virginia",33,"WMERBCH",1,333876448129.933,573485056185.109,239608608055.176,71.7656514549743,"Top and limb weight"
51,"Virginia",33,"WMEROB",1,1466300966017.55,1552690683395.32,86389717377.7649,5.89167704174662,"Merch bole wood and bark weight"
51,"Virginia",33,"WSTPOB",1,83327640197.8814,81781663661.9538,-1545976535.92754,-1.85529859270735,"Stump wood and bark weight"
53,"Washington",26,"BIOMASS",2,321868907266.302,434176105909.016,112307198642.714,34.8922173305158,"Total aboveground biomass"
53,"Washington",26,"CARBON",2,160934453856.43,217235979990.438,56301526134.0075,34.984134711287,"Total aboveground carbon"
53,"Washington",26,"VMERIB",2,12121903762.1869,11746330911.1269,-375572851.059973,-3.098299231112,"Merchantable wood volume"
53,"Washington",26,"WMERBCH",2,22511530780.3557,48081477762.3485,25569946981.9928,113.585998355589,"Top and limb weight"
53,"Washington",26,"WMEROB",2,278856663742.981,361543388728.833,82686724985.8519,29.6520527341829,"Merch bole wood and bark weight"
53,"Washington",26,"WSTPOB",2,16664667484.0923,20031302977.0014,3366635492.9091,20.2022362349732,"Stump wood and bark weight"
53,"Washington",26,"BIOMASS",1,3578885705230.63,3552972832746.95,-25912872483.6792,-0.724048617864685,"Total aboveground biomass"
53,"Washington",26,"CARBON",1,1789442855059.87,1790490400979.92,1047545920.05469,0.0585403393627588,"Total aboveground carbon"
53,"Washington",26,"VMERIB",1,95820254909.9002,94213681494.1119,-1606573415.78827,-1.67665324758208,"Merchantable wood volume"
53,"Washington",26,"WMERBCH",1,485364598266.751,558291720553.639,72927122286.8877,15.0252248613336,"Top and limb weight"
