"alpha","beta","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD"
2.503691452246,0.90601368405,"461 230",NA,NA
2.628770481131,0.878890905605,"491 230",NA,NA
2.244302927477,0.861049105942,"521 230",NA,NA
2.320736982268,0.944512627114,"531 210",NA,NA
2.286181828843,0.936513016234,"531 220",NA,NA
2.794098687761,0.873295878445,"531 230",NA,NA
2.305537580767,0.935247966666,"531 M210",NA,NA
2.676337647131,0.899059041871,"531 M220",NA,NA
2.165550462772,0.774395070684,"540 230",NA,NA
2.473147847492,0.917732495583,"540 M220",NA,NA
2.515992448491,0.924060926482,"541 210",NA,NA
2.385411557347,0.939880821682,"541 220",NA,NA
2.33197580106,0.937726228994,"541 M210",NA,NA
2.643286712686,0.969994279331,"541 M220",NA,NA
2.307776320373,0.897421403585,"543 210",NA,NA
2.552265134189,0.830166133656,"544 230",NA,NA
2.296837460438,0.790698942572,"555 230",NA,NA
2.481503563967,0.928105014469,"591 230",NA,NA
2.424143029234,0.950547646934,"602 220",NA,NA
2.502202836361,0.930080404067,"602 M220",NA,NA
2.282656638532,0.838748052439,"611 230",NA,NA
2.466360746654,0.941714455244,"621 220",NA,NA
2.33451333607,0.876582536633,"621 230",NA,NA
2.421612862753,0.943375272959,"621 M220",NA,NA
2.389740036558,0.940990495289,"651 M220",NA,NA
2.149596166338,0.756088756994,"653 230",NA,NA
2.637687139734,0.925679299474,"68 220",NA,NA
2.486450201597,0.868528907592,"68 230",NA,NA
2.286926620045,0.623051573242,"691 230",NA,NA
2.443944110042,0.895127734318,"693 220",NA,NA
2.320240242183,0.819372379174,"693 230",NA,NA
2.341122507788,0.900278322424,"693 M220",NA,NA
2.071230649657,0.684052253799,"694 230",NA,NA
2.311227844993,0.870122737772,"71 130",NA,NA
2.310717292769,0.905502950613,"71 210",NA,NA
2.30041018555,0.835124538954,"731 230",NA,NA
2.243790144342,0.871999961609,"740 130",NA,NA
2.152156100347,0.969447212847,"740 M330",NA,NA
2.320044511733,0.933560601532,"741 130",NA,NA
2.406351929837,0.920820002987,"741 210",NA,NA
2.292377306701,0.964387460762,"743 130",NA,NA
2.311375758208,0.970306740239,"743 210",NA,NA
2.196485783849,0.957638664492,"746 130",NA,NA
2.248339144687,0.950086359767,"746 210",NA,NA
2.217906978453,0.936890779193,"746 220",NA,NA
2.451986171086,0.994446906801,"746 M130",NA,NA
2.277876716892,0.963595474779,"746 M330",NA,NA
2.39136093684,0.950609983749,"762 210",NA,NA
2.530477876285,0.961967017186,"762 220",NA,NA
2.515112697511,0.912642176533,"762 230",NA,NA
2.417498737083,0.962712431877,"762 M220",NA,NA
2.478170078514,0.873668316104,"800 230",NA,NA
2.605951905197,0.889926474993,"802 210",NA,NA
2.431021635505,0.8661631105,"802 220",NA,NA
2.368234502956,0.815443198117,"802 230",NA,NA
2.413673220682,0.851093936311,"802 M220",NA,NA
2.480182683688,0.913941060474,"802 M230",NA,NA
2.385529309344,0.882220892107,"806 220",NA,NA
2.38685050735,0.831045132843,"806 230",NA,NA
2.394328554906,0.866263532709,"806 M220",NA,NA
2.504316269517,0.902838067968,"81 M260",NA,NA
2.434957686163,0.824926387604,"812 230",NA,NA
2.327109557086,0.810843012299,"813 230",NA,NA
2.374065815653,0.800110500485,"820 230",NA,NA
2.525892680434,0.880947283979,"822 230",NA,NA
2.277576596895,0.754766397224,"825 230",NA,NA
2.41538228072,0.839266917262,"827 230",NA,NA
2.544569441955,0.87217364367,"828 230",NA,NA
2.480055545414,0.835312318618,"831 230",NA,NA
2.439776307756,0.922999813735,"832 220",NA,NA
2.46533765954,0.896245651362,"832 230",NA,NA
2.445861834893,0.909950840055,"832 M220",NA,NA
2.433354119172,0.892772812638,"833 210",NA,NA
2.476535009321,0.892300820683,"833 220",NA,NA
2.303017093688,0.806732870276,"833 230",NA,NA
2.482979108945,0.887190619919,"833 M220",NA,NA
2.546574110539,0.904814857222,"835 220",NA,NA
2.46796614944,0.841875682298,"835 230",NA,NA
