"DIVISION","ECODIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"M310","M313","CARBON",2,18821975491.1322,29460216073.565,10638240582.4328,56.5203189614443,"Total aboveground carbon"
"M310","M313","VMERIB",2,1208406795.87635,1357442913.36406,149036117.487702,12.3332736952723,"Merchantable wood volume"
"M310","M313","WMERBCH",2,3676582300.83846,11242031167.4721,7565448866.63365,205.773956560372,"Top and limb weight"
"M310","M313","WMEROB",2,32059299716.5486,44305423742.8006,12246124026.2521,38.1983516000843,"Merch bole wood and bark weight"
"M310","M313","WSTPOB",2,1758665409.67709,2352649224.12446,593983814.447373,33.7746913755719,"Stump wood and bark weight"
"M330","M331","BIOMASS",1,1928141853217.31,2214996042263.81,286854189046.502,14.8772347100839,"Total aboveground biomass"
"M330","M331","CARBON",1,964070930399.509,1093020348988.02,128949418588.511,13.3755115440598,"Total aboveground carbon"
"M330","M331","VMERIB",1,55001171797.507,50928686055.2867,-4072485742.2203,-7.40436177835195,"Merchantable wood volume"
"M330","M331","WMERBCH",1,273364135574.735,619339820404.33,345975684829.596,126.562207621786,"Top and limb weight"
"M330","M331","WMEROB",1,1454289291998.94,1372723857359.42,-81565434639.5208,-5.60861137383525,"Merch bole wood and bark weight"
"M330","M331","WSTPOB",1,75128541378.0146,75067427819.6776,-61113558.3369598,-0.0813453279086874,"Stump wood and bark weight"
"M330","M331","VSAWIB",1,37907002772.2086,34633749176.8003,-3273253595.40829,-8.63495754353882,"Sawlog wood volume"
"M330","M331","BIOMASS",2,586732836205.993,813146981194.82,226414144988.827,38.5889677579484,"Total aboveground biomass"
"M330","M331","CARBON",2,293366418638.774,400179402493.751,106812983854.977,36.4094105762312,"Total aboveground carbon"
"M330","M331","VMERIB",2,20615669202.459,19228816617.818,-1386852584.641,-6.72717713415568,"Merchantable wood volume"
"M330","M331","WMERBCH",2,57460835000.5918,228966901135.295,171506066134.703,298.474719577147,"Top and limb weight"
"M330","M331","WMEROB",2,495196286772.526,547029636674.534,51833349902.0073,10.4672331531067,"Merch bole wood and bark weight"
"M330","M331","WSTPOB",2,28094480720.3876,30431399343.9338,2336918623.54619,8.31807018184299,"Stump wood and bark weight"
"M330","M332","BIOMASS",1,1817410827620.55,2105396784618.97,287985956998.418,15.8459470264885,"Total aboveground biomass"
"M330","M332","CARBON",1,908705416394.278,1055656325671.53,146950909277.247,16.1714573970897,"Total aboveground carbon"
"M330","M332","VMERIB",1,49800707248.515,50031150764.9014,230443516.386406,0.462731413103129,"Merchantable wood volume"
"M330","M332","WMERBCH",1,241769014480.614,505783101774.561,264014087293.948,109.200961033457,"Top and limb weight"
"M330","M332","WMEROB",1,1421351234813.37,1430900796783.44,9549561970.06299,0.67186503491636,"Merch bole wood and bark weight"
"M330","M332","WSTPOB",1,69553938926.0835,64059201700.2977,-5494737225.78584,-7.89996556719127,"Stump wood and bark weight"
"M330","M332","VSAWIB",1,38709307591.7314,39334375151.7916,625067560.060165,1.61477329083945,"Sawlog wood volume"
"M330","M332","BIOMASS",2,478604261055.874,665614205116.62,187009944060.746,39.0740240482134,"Total aboveground biomass"
"M330","M332","CARBON",2,239302130941.256,331689343772.044,92387212830.7877,38.6069327788255,"Total aboveground carbon"
"M330","M332","VMERIB",2,15974995051.2739,16184044641.2287,209049589.954798,1.30860503733381,"Merchantable wood volume"
"M330","M332","WMERBCH",2,47225690659.2547,158444561955.2,111218871295.945,235.505018017455,"Top and limb weight"
"M330","M332","WMEROB",2,403635250991.107,477058412077.738,73423161086.6314,18.190472934746,"Merch bole wood and bark weight"
"M330","M332","WSTPOB",2,23329015978.2115,24681526250.6459,1352510272.43442,5.7975453130883,"Stump wood and bark weight"
"M330","M333","BIOMASS",1,1809917821138.93,1992489272912.1,182571451773.166,10.0872785294903,"Total aboveground biomass"
"M330","M333","CARBON",1,904958913032.7,990531613981.179,85572700948.4789,9.45597636711566,"Total aboveground carbon"
"M330","M333","VMERIB",1,50095844160.1676,49680680634.8661,-415163525.301521,-0.828738455777192,"Merchantable wood volume"
"M330","M333","WMERBCH",1,237917835654.09,368377518026.416,130459682372.326,54.8339228177924,"Top and limb weight"
"M330","M333","WMEROB",1,1418360390293.26,1462544893794.58,44184503501.322,3.1151817128922,"Merch bole wood and bark weight"
"M330","M333","WSTPOB",1,75208065422.7244,62917841480.7577,-12290223941.9668,-16.3416302133112,"Stump wood and bark weight"
"M330","M333","VSAWIB",1,38974844183.7976,39252101425.77,277257241.972359,0.711374856727761,"Sawlog wood volume"
"M330","M333","BIOMASS",2,231605048505.562,329701942758.837,98096894253.2744,42.3552486814287,"Total aboveground biomass"
"M330","M333","CARBON",2,115802524479.544,163233107716.86,47430583237.316,40.9581599800913,"Total aboveground carbon"
"M330","M333","VMERIB",2,7444626355.25639,8035985943.63326,591359588.376872,7.94344215756824,"Merchantable wood volume"
"M330","M333","WMERBCH",2,19811355335.7482,53722858915.2633,33911503579.515,171.172052617339,"Top and limb weight"
"M330","M333","WMEROB",2,196364132717.695,258461057756.295,62096925038.5994,31.6233541121655,"Merch bole wood and bark weight"
"M330","M333","WSTPOB",2,12513146917.1947,13821842104.1003,1308695186.90556,10.4585616677068,"Stump wood and bark weight"
"M330","M334","BIOMASS",1,83598539899.1569,95262227355.3279,11663687456.1709,13.9520229303533,"Total aboveground biomass"
"M330","M334","CARBON",1,41799270077.4448,48674206169.5283,6874936092.08344,16.4475027419036,"Total aboveground carbon"
"M330","M334","VMERIB",1,2208123668.00382,2074262251.34909,-133861416.654733,-6.06222462058684,"Merchantable wood volume"
"M330","M334","WMERBCH",1,11825549997.2046,24809235724.7803,12983685727.5757,109.793504155366,"Top and limb weight"
"M330","M334","WMEROB",1,65167849147.4614,61931680714.7646,-3236168432.6968,-4.96589725613626,"Merch bole wood and bark weight"
"M330","M334","WSTPOB",1,3259667266.41918,3292388305.67076,32721039.2515826,1.00381531540572,"Stump wood and bark weight"
"M330","M334","VSAWIB",1,1560936164.21993,1542129382.92221,-18806781.2977157,-1.20483987294345,"Sawlog wood volume"
"M330","M334","BIOMASS",2,9041414467.97021,10930527072.5292,1889112604.55897,20.8939940896557,"Total aboveground biomass"
