"SPCD","COMMON_NAME","HWSW","DIVISION","ECODIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"101","whitebark pine","Softwood","M330","M332","WSTPOB",1,1508325085.81496,1555016376.15057,46691290.3356173,3.09557208686148,"Stump wood and bark weight"
"101","whitebark pine","Softwood","M330","M332","VSAWIB",1,457674543.02028,423869552.077198,-33804990.9430826,-7.38625109449984,"Sawlog wood volume"
"101","whitebark pine","Softwood","M330","M332","BIOMASS",2,46403803194.5975,64879233143.3103,18475429948.7128,39.8144735491504,"Total aboveground biomass"
"101","whitebark pine","Softwood","M330","M332","CARBON",2,23201901634.7338,31009029480.8452,7807127846.11138,33.6486550499978,"Total aboveground carbon"
"101","whitebark pine","Softwood","M330","M332","VMERIB",2,1442148600.69413,1423768973.75206,-18379626.9420638,-1.27446137889101,"Merchantable wood volume"
"101","whitebark pine","Softwood","M330","M332","WMERBCH",2,3841274033.13896,21442399036.1304,17601125002.9914,458.210605417504,"Top and limb weight"
"101","whitebark pine","Softwood","M330","M332","WMEROB",2,39926224492.908,40488311847.4385,562087354.530495,1.40781494285876,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","M330","M332","WSTPOB",2,2488721635.39907,2743266663.97821,254545028.579145,10.227942930963,"Stump wood and bark weight"
"101","whitebark pine","Softwood","M330","M333","BIOMASS",1,5546792403.58821,5828409593.5939,281617190.005693,5.07711790013118,"Total aboveground biomass"
"101","whitebark pine","Softwood","M330","M333","CARBON",1,2773396211.33699,2785688365.25821,12292153.9212151,0.443216655123694,"Total aboveground carbon"
"101","whitebark pine","Softwood","M330","M333","VMERIB",1,140579229.225539,135142270.006708,-5436959.2188313,-3.86754092249893,"Merchantable wood volume"
"101","whitebark pine","Softwood","M330","M333","WMERBCH",1,731852014.276887,1435626517.02933,703774502.752445,96.1634987706929,"Top and limb weight"
"101","whitebark pine","Softwood","M330","M333","WMEROB",1,4338000603.31851,3899682599.00419,-438318004.31432,-10.1041480717871,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","M330","M333","WSTPOB",1,243718932.951081,224403536.382392,-19315396.5686898,-7.92527537143236,"Stump wood and bark weight"
"101","whitebark pine","Softwood","M330","M333","VSAWIB",1,109628709.76879,102508303.379069,-7120406.38972043,-6.49501978517999,"Sawlog wood volume"
"101","whitebark pine","Softwood","M330","M333","BIOMASS",2,13572539048.4722,18234647362.8494,4662108314.3772,34.3495664129402,"Total aboveground biomass"
"101","whitebark pine","Softwood","M330","M333","CARBON",2,6786269534.90384,8715249707.07387,1928980172.17003,28.4247503322511,"Total aboveground carbon"
"101","whitebark pine","Softwood","M330","M333","VMERIB",2,410253497.86852,413316157.511913,3062659.64339322,0.746528587642842,"Merchantable wood volume"
"101","whitebark pine","Softwood","M330","M333","WMERBCH",2,1113580764.82834,4586763908.22912,3473183143.40078,311.893241433294,"Top and limb weight"
"101","whitebark pine","Softwood","M330","M333","WMEROB",2,11676178273.8755,12787732990.1422,1111554716.2667,9.51985050411326,"Merch bole wood and bark weight"
